ID	Waveform	PeriodMean	PeriodStdDev	PhaseMean	PhaseStdDev	NadirMean	NadirStdDev	Mean	Std_Dev	Max	Min	Max_Amp	FC	IQR_FC	NumBoots	TauMean	TauStdDev	empP	GammaP	GammaBH
lTrend_750	cosine	24.0	0.0	8.0	8.0494551315e-08	0.0	-0.0	7.374684891	30.0787044916	48.8051921144	-27.3456081059	76.1508002203	-1.78475431687	-1.91976572323	25	1.27948948851	0.0	0.000999000999001	0.000296733216521	0.00490361936145
amped_928	cosine	24.0	0.0	0.0	-0.0	16.0	-0.0	5.11443251214	21.1044210235	33.9204949247	-26.5430973169	60.4635922416	-1.27794034433	-1.99701256626	25	1.27948948851	0.0	0.000999000999001	0.000296733216521	0.00490361936145
sin_554	cosine	24.0	0.0	0.0	-0.0	8.0	8.0494551315e-08	4.09855217627	17.4371059449	32.0379966024	-21.9702056448	54.0082022472	-1.45824746114	-1.18926190992	25	1.27948948851	0.0	0.000999000999001	0.000296733216521	0.00490361936145
sin_551	cosine	24.0	0.0	16.0	-0.0	0.0	-0.0	-1.84753024996	51.2957644183	83.3604855255	-55.920654472	139.281139998	-1.49069223729	-1.33251005421	25	1.27948948851	0.0	0.000999000999001	0.000296733216521	0.00490361936145
damp_287	cosine	24.0	0.0	8.0	8.0494551315e-08	0.0	-0.0	-7.12468942667	19.9111802475	21.2412079647	-35.7210423204	56.9622502852	-0.59464132581	-0.571040244849	25	1.27948948851	0.0	0.000999000999001	0.000296733216521	0.00490361936145
sin_106	cosine	24.0	0.0	0.0	-0.0	16.0	-0.0	-2.44770419057	16.7797450961	18.1371735432	-26.684281506	44.8214550492	-0.679695030914	-0.687683546062	25	1.27948948851	0.0	0.000999000999001	0.000296733216521	0.00490361936145
saw_263	cosine	24.0	0.0	16.0	-0.0	8.0	8.0494551315e-08	18.0238050251	16.7319512968	40.6158134451	-6.95621366247	47.5720271075	-5.83878175914	11.0009431361	25	1.27948948851	0.0	0.000999000999001	0.000296733216521	0.00490361936145
amped_920	cosine	24.0	0.0	0.0	-0.0	16.0	-0.0	3.7987618413	176.290856727	206.284113804	-337.284819881	543.568933685	-0.611602128659	-1.01678965672	25	1.27948948851	0.0	0.000999000999001	0.000296733216521	0.00490361936145
saw_67	cosine	24.0	0.0	16.0	-0.0	8.0	8.0494551315e-08	44.4867593019	26.9825119564	90.758800734	7.022248075	83.736552659	12.9244651805	3.84488593455	25	1.27948948851	0.0	0.000999000999001	0.000296733216521	0.00490361936145
saw_209	cosine	24.0	0.0	16.0	-0.0	8.0	8.0494551315e-08	260.746688695	179.810348517	600.588378627	49.519906655	551.068471972	12.1282211376	5.34673520707	25	1.27948948851	0.0	0.000999000999001	0.000296733216521	0.00490361936145
amped_962	cosine	24.0	0.0	0.0	-0.0	16.0	-0.0	75.3660763991	975.938766571	1503.51050072	-1278.80590325	2782.31640396	-1.17571438863	-1.38435446629	25	1.27948948851	0.0	0.000999000999001	0.000296733216521	0.00490361936145
amped_963	cosine	24.0	0.0	8.0	8.0494551315e-08	16.0	-0.0	-1.58115840075	23.9578119027	35.6400881382	-35.5637618489	71.2038499871	-1.00214618155	-0.985271744963	25	1.27948948851	0.0	0.000999000999001	0.000296733216521	0.00490361936145
amped_30	cosine	24.0	0.0	8.0	8.0494551315e-08	16.0	-0.0	-1.0320682198	114.393817159	114.703081748	-218.544943163	333.248024911	-0.524848939939	-1.08577963063	25	1.27948948851	0.0	0.000999000999001	0.000296733216521	0.00490361936145
