ID	Waveform	PeriodMean	PeriodStdDev	PhaseMean	PhaseStdDev	NadirMean	NadirStdDev	Mean	Std_Dev	Max	Min	Max_Amp	FC	IQR_FC	NumBoots	TauMean	TauStdDev	empP	GammaP	GammaBH
amped_424	cosine	24.0	0.0	18.0	-0.0	6.0	-0.0	15.6963193606	204.120937813	419.641460833	-383.075003425	802.716464258	-1.09545508603	-1.06250498546	25	1.14157976307	0.081040432392	0.000999000999001	4.51605139717e-16	4.96765653689e-12
amped_489	cosine	24.0	0.0	6.0	-0.0	18.0	-0.0	-42.1482243451	362.45380314	527.468588233	-851.785111095	1379.25369933	-0.619250772715	-0.781984866261	25	1.09273950625	0.0795064759051	0.000999000999001	3.40560295295e-15	1.33427339077e-11
amped_149	cosine	24.0	0.0	18.0	-0.0	6.0	-0.0	-11.494419803	971.75884075	2086.395294	-2146.24824327	4232.64353727	-0.972112755618	-1.205793312	25	1.09077324012	0.0730536281892	0.000999000999001	3.69364684872e-15	1.33427339077e-11
amped_164	cosine	24.0	0.0	0.0	-0.0	12.0	-0.0	-1906.62983861	17218.3932047	28115.5068087	-42216.5288475	70332.0356561	-0.665983385565	-0.653508618201	25	1.08416569593	0.0793365247162	0.000999000999001	4.85190323915e-15	1.33427339077e-11
amped_209	cosine	24.0	0.0	12.0	-0.0	0.0	-0.0	-15.5979046258	351.313720239	809.632872546	-805.190633508	1614.82350605	-1.00551700287	-0.747452096864	25	1.04005070766	0.102844934044	0.000999000999001	2.98712670368e-14	6.50664538884e-11
amped_201	cosine	24.0	0.0	12.0	-0.0	0.0	-0.0	-45.2737730098	1098.45797321	2695.10955996	-2156.82381534	4851.9333753	-1.24957334984	-0.688547590893	25	1.03585875228	0.0851923340518	0.000999000999001	3.549079303e-14	6.50664538884e-11
amped_371	cosine	24.0	0.0	18.0	-0.0	6.0	-0.0	-196.442749314	1777.03910466	3645.93627899	-3795.59273516	7441.52901414	-0.960570992039	-0.684367013164	25	1.02881729278	0.103961020338	0.000999000999001	4.7403154195e-14	6.56200510296e-11
amped_69	cosine	24.0	0.0	12.0	-0.0	0.0	-0.0	5.89273274673	115.756594201	211.741308866	-256.379802839	468.121111705	-0.825889194554	-1.39439669456	25	1.02604886666	0.0719320495116	0.000999000999001	5.31133842763e-14	6.56200510296e-11
amped_650	cosine	24.0	0.0	12.0	-0.0	0.0	-0.0	-0.560977880978	123.023335642	269.174412766	-293.327795033	562.502207798	-0.917657369414	-1.34253487653	25	1.02578640862	0.113320979953	0.000999000999001	5.36891326606e-14	6.56200510296e-11
amped_715	cosine	24.0	0.0	12.0	-0.0	0.0	-0.0	13.4509993103	249.43046802	562.752380128	-489.817149035	1052.56952916	-1.14890297581	-1.26855962585	25	1.01656204445	0.0716460653884	0.000999000999001	7.84130611868e-14	8.62543673055e-11
amped_393	cosine	24.0	0.0	6.0	-0.0	18.0	-0.0	-1.13117215332	111.266775008	306.968324611	-271.477764026	578.446088637	-1.13073100374	-1.2555839884	25	1.01376123496	0.0989245979091	0.000999000999001	8.79651569841e-14	8.79651569841e-11
amped_595	cosine	24.0	0.0	0.0	-0.0	12.0	-0.0	-2.16103830481	61.8869668485	116.284551201	-130.86781622	247.15236742	-0.88856492421	-0.934084701055	25	1.01051893035	0.0736320645046	0.000999000999001	1.00481732496e-13	9.21082547882e-11
amped_493	cosine	24.0	0.0	12.0	-0.0	0.0	-0.0	-7.39436410503	189.756229252	451.724533486	-397.788563829	849.513097315	-1.13558954319	-0.883518745334	25	0.992212791311	0.106322586355	0.000999000999001	2.12805985408e-13	1.53327099451e-10
amped_935	cosine	24.0	0.0	6.0	-0.0	18.0	-0.0	0.0456801468134	34.6883358402	72.8506942642	-69.66350387	142.514198134	-1.04575122147	-1.03383944293	25	0.990742841877	0.0757407885518	0.000999000999001	2.26010943664e-13	1.53327099451e-10
amped_455	cosine	24.0	0.0	18.0	-0.0	6.0	-0.0	11.7758800031	97.7184674246	231.324994381	-175.992344456	407.317338837	-1.31440373214	-1.43484364371	25	0.990691108305	0.0626311565413	0.000999000999001	2.26490284328e-13	1.53327099451e-10
amped_642	cosine	24.0	0.0	0.0	-0.0	12.0	-0.0	0.379702147085	40.330060244	88.0743198596	-118.662932729	206.737252589	-0.742222679264	-1.06826180294	25	0.990027982895	0.0906496831179	0.000999000999001	2.3272509695e-13	1.53327099451e-10
amped_797	cosine	24.0	0.0	12.0	-0.0	0.0	-0.0	0.0809898063809	54.0026233997	124.260467651	-119.048154964	243.308622614	-1.04378322947	-0.955875259282	25	0.989587591524	0.129963087169	0.000999000999001	2.36960062788e-13	1.53327099451e-10
amped_803	cosine	24.0	0.0	6.0	-0.0	18.0	-0.0	-11.8663258586	93.7203407306	158.469430165	-233.408798222	391.878228386	-0.678935118864	-0.868556395204	25	0.988018535795	0.0883254275562	0.000999000999001	2.526834088e-13	1.54417638711e-10
amped_810	cosine	24.0	0.0	0.0	-0.0	12.0	-0.0	1.17559334766	25.9140322253	56.309612063	-42.3331268401	98.6427389031	-1.33015480467	-0.987278110763	25	0.985081401757	0.120706966103	0.000999000999001	2.84967388899e-13	1.64981119889e-10
amped_518	cosine	24.0	0.0	18.0	-0.0	6.0	-0.0	3.71385534177	52.1920149591	116.314740545	-123.050853291	239.365593837	-0.945257488546	-1.11776414045	25	0.983060727077	0.0945832752219	0.000999000999001	3.09536515878e-13	1.70245083733e-10
amped_770	cosine	24.0	0.0	12.0	-0.0	0.0	-0.0	-6.83104847763	263.684714487	533.876044305	-674.977582537	1208.85362684	-0.790953741454	-1.14051502586	25	0.980407995575	0.082408860423	0.000999000999001	3.45026870904e-13	1.8072836095e-10
amped_20	cosine	24.0	0.0	6.0	-0.0	18.0	-0.0	-1.86038090527	23.9585028554	41.3054389845	-56.544499373	97.8499383575	-0.730494379517	-1.07049269558	25	0.979184274544	0.0725305081807	0.000999000999001	3.62739971196e-13	1.81369985598e-10
amped_652	cosine	24.0	0.0	18.0	-0.0	6.0	-0.0	5.86417045169	38.9987041477	95.8468529152	-85.3677387725	181.214591688	-1.12275262638	-1.27411181199	25	0.97525316638	0.0785817615705	0.000999000999001	4.26014636337e-13	2.03746130422e-10
amped_316	cosine	24.0	0.0	12.0	-0.0	0.0	-0.0	-2.05731520767	76.6467101598	140.47220625	-203.292949198	343.765155449	-0.690984152692	-0.755960136825	25	0.970454714865	0.0750445535961	0.000999000999001	5.18352391941e-13	2.2839983055e-10
amped_644	cosine	24.0	0.0	0.0	-0.0	12.0	-0.0	-3.21007549942	68.5608620765	169.759929705	-132.657349439	302.417279144	-1.27968733299	-0.770357968613	25	0.969559216201	0.0793756472859	0.000999000999001	5.37676574714e-13	2.2839983055e-10
amped_553	cosine	24.0	0.0	6.0	-0.0	18.0	-0.0	-1.2256711306	163.135068141	374.160290525	-393.846524577	768.006815102	-0.950015468404	-0.774805881662	25	0.968046627287	0.0779752509888	0.000999000999001	5.71963072515e-13	2.2839983055e-10
amped_744	cosine	24.0	0.0	6.0	-0.0	18.0	-0.0	-5.7001334515	71.5164143255	133.286249124	-154.442264999	287.728514123	-0.86301666921	-0.680471397902	25	0.967889927193	0.0885474318993	0.000999000999001	5.75637435537e-13	2.2839983055e-10
