ID	Waveform	PeriodMean	PeriodStdDev	PhaseMean	PhaseStdDev	NadirMean	NadirStdDev	Mean	Std_Dev	Max	Min	Max_Amp	FC	IQR_FC	NumBoots	TauMean	TauStdDev	empP	GammaP	GammaBH
saw_981	cosine	24.0	0.0	0.0	-0.0	20.0	-0.0	898.249501245	531.689413242	1806.22855443	40.6383305158	1765.59022391	44.4464261082	2.41234379102	25	2.64665241236	0.0	0.000999000999001	0.000999000999001	0.00195917471724
saw_535	cosine	24.0	0.0	12.0	-0.0	16.0	-0.0	380.934640306	256.824605234	791.525974203	-50.7994924236	842.325466626	-15.5813756484	3.37619302543	25	2.64665241236	0.0	0.000999000999001	0.000999000999001	0.00195917471724
saw_747	cosine	24.0	0.0	16.0	-0.0	10.0	5.69182430834e-08	2143.96664326	1226.52766221	4130.35464716	-243.803177789	4374.15782494	-16.9413486921	1.96192389031	25	2.64665241236	0.0	0.000999000999001	0.000999000999001	0.00195917471724
amped_231	cosine	24.0	0.0	12.0	-0.0	22.0	-0.0	-35.4149730005	340.27697721	509.394178902	-557.259272244	1066.65345115	-0.914106241518	-0.659250266403	25	2.64665241236	0.0	0.000999000999001	0.000999000999001	0.00195917471724
damp_981	cosine	24.0	0.0	8.0	8.0494551315e-08	22.0	-0.0	-41.1259981607	484.547127128	703.953939117	-773.497627298	1477.45156642	-0.910091917898	-0.855013915036	25	2.64665241236	0.0	0.000999000999001	0.000999000999001	0.00195917471724
saw_334	cosine	24.0	0.0	2.0	5.69182430834e-08	8.0	8.0494551315e-08	176.360545978	108.987180303	325.658932563	-20.4479226555	346.106855218	-15.9262599947	3.02906958297	25	2.64665241236	0.0	0.000999000999001	0.000999000999001	0.00195917471724
lTrend_427	cosine	24.0	0.0	16.0	-0.0	6.0	-0.0	-37.5347323286	700.170658666	934.461488883	-956.820218765	1891.28170765	-0.976632256045	-0.852257350548	25	2.64665241236	0.0	0.000999000999001	0.000999000999001	0.00195917471724
damp_295	cosine	24.0	0.0	20.0	-0.0	6.0	-0.0	-16.3291708689	261.43876506	338.500642923	-432.826419546	771.327062469	-0.782070196358	-0.853679504558	25	2.64665241236	0.0	0.000999000999001	0.000999000999001	0.00195917471724
saw_997	cosine	24.0	0.0	22.0	-0.0	4.0	-0.0	78.5386230938	54.1463289962	175.153737204	-8.79948788817	183.953225092	-19.9049921348	2.60469398546	25	2.64665241236	0.0	0.000999000999001	0.000999000999001	0.00195917471724
saw_905	cosine	24.0	0.0	20.0	-0.0	14.0	-0.0	86.0963725023	51.0060504506	174.78041523	-7.63596922354	182.416384454	-22.8890937239	2.19311013515	25	2.62301648914	0.115791902969	0.000999000999001	0.000999000999001	0.00195917471724
saw_419	cosine	24.0	0.0	22.0	-0.0	2.0	5.69182430834e-08	38.359866769	23.6337673743	76.4138534021	1.82258383043	74.5912695717	41.9261117795	2.88820363971	25	2.59938056593	0.160306630723	0.000999000999001	0.000999000999001	0.00195917471724
saw_451	cosine	24.0	0.0	18.0	-0.0	14.0	-0.0	153.689223907	88.3234809968	303.334191329	9.79024628908	293.54394504	30.9833054626	2.66710183265	25	2.57574464271	0.192019147955	0.000999000999001	0.000999000999001	0.00195917471724
saw_605	cosine	24.0	0.0	6.0	-0.0	0.0	-0.0	49.8018837958	35.9960573047	110.321663621	-3.38907132711	113.710734949	-32.5521811061	4.25654015599	25	2.57574464271	0.192019147955	0.000999000999001	0.000999000999001	0.00195917471724
saw_293	cosine	24.0	0.0	14.0	-0.0	10.0	5.69182430834e-08	90.3936908071	56.6946727111	198.309812358	3.54163514657	194.768177211	55.993857117	2.36827896989	25	2.57574464271	0.192019147955	0.000999000999001	0.000999000999001	0.00195917471724
saw_525	cosine	24.0	0.0	2.0	5.69182430834e-08	20.0	-0.0	90.1628590737	53.7116298811	173.655945481	-11.0070766621	184.663022143	-15.7767544292	2.05077316897	25	2.55210871949	0.216626814536	0.000999000999001	0.000999000999001	0.00195917471724
damp_223	cosine	24.0	0.0	14.0	-0.0	2.0	5.69182430834e-08	-5.1389541166	56.577303421	77.9742553822	-102.009009479	179.983264862	-0.76438596728	-0.749488183026	25	2.52847279627	0.236359232183	0.000999000999001	0.000999000999001	0.00195917471724
sin_125	cosine	24.0	0.0	18.0	-0.0	6.0	-0.0	4.79349464379	218.230853827	295.762621817	-345.374298652	641.136920469	-0.856353883226	-0.940665271644	25	2.51845521706	4.4408920985e-16	0.000999000999001	0.000999000999001	0.00195917471724
sin_696	cosine	24.0	0.0	6.0	-0.0	18.0	-0.0	-42.4073366764	774.288732704	1193.45518005	-1196.8182004	2390.27338045	-0.997190032408	-0.908033886434	25	2.51845521706	4.4408920985e-16	0.000999000999001	0.000999000999001	0.00195917471724
amped_879	cosine	24.0	0.0	6.0	-0.0	18.0	-0.0	-8.82540856909	93.7567295605	133.014596595	-165.320116198	298.334712793	-0.804588090391	-0.631751236491	25	2.51845521706	4.4408920985e-16	0.000999000999001	0.000999000999001	0.00195917471724
saw_131	cosine	24.0	0.0	22.0	-0.0	18.0	-0.0	150.272820348	94.041890161	295.827045059	0.802484484085	295.024560575	368.63895929	3.14389378232	25	2.50483687305	0.252362601761	0.000999000999001	0.000999000999001	0.00195917471724
saw_753	cosine	24.0	0.0	2.0	5.69182430834e-08	6.0	-0.0	36.6913008081	23.6113307302	69.0959079313	-0.956437953607	70.0523458849	-72.2429590657	3.21127405318	25	2.50483687305	0.252362601761	0.000999000999001	0.000999000999001	0.00195917471724
saw_182	cosine	24.0	0.0	14.0	-0.0	18.0	-0.0	108.876860364	67.9310033178	227.206314677	3.77211577751	223.4341989	60.2331232864	2.40161167058	25	2.48120094983	0.265312580109	0.000999000999001	0.000999000999001	0.00195917471724
