ID	Waveform	PeriodMean	PeriodStdDev	PhaseMean	PhaseStdDev	NadirMean	NadirStdDev	Mean	Std_Dev	Max	Min	Max_Amp	FC	IQR_FC	NumBoots	TauMean	TauStdDev	empP	GammaP	GammaBH
amped_699	cosine	24.0	0.0	16.0	-0.0	8.0	8.0494551315e-08	1.19862221279	35.567392706	59.1807034291	-47.745377502	106.926080931	-1.23950645121	-1.40075801552	25	1.27948948851	0.0	0.000999000999001	0.000240805229045	0.00531265249201
amped_696	cosine	24.0	0.0	8.0	8.0494551315e-08	16.0	-0.0	-37.4354775295	1408.39713921	1702.05985058	-2230.79144585	3932.85129643	-0.762984748642	-1.10642688829	25	1.27948948851	0.0	0.000999000999001	0.000240805229045	0.00531265249201
sin_551	cosine	24.0	0.0	16.0	-0.0	0.0	-0.0	-2.55934972756	47.3695385132	77.8588373808	-62.4526779554	140.311515336	-1.24668532927	-1.07926763351	25	1.27948948851	0.0	0.000999000999001	0.000240805229045	0.00531265249201
saw_472	cosine	24.0	0.0	0.0	-0.0	16.0	-0.0	14.4471507363	12.9387257522	34.9511014227	-4.86002654404	39.8111279667	-7.19154537656	55.9487083899	25	1.27948948851	0.0	0.000999000999001	0.000240805229045	0.00531265249201
sin_747	cosine	24.0	0.0	16.0	-0.0	0.0	-0.0	-232.659523982	1451.01871861	2268.23822574	-2241.99225909	4510.23048483	-1.01170653759	-0.477396185192	25	1.27948948851	0.0	0.000999000999001	0.000240805229045	0.00531265249201
lTrend_776	cosine	24.0	0.0	16.0	-0.0	8.0	8.0494551315e-08	-95.5295578344	175.31588187	171.547209709	-352.724518788	524.271728497	-0.486348979365	-0.438616814393	25	1.27948948851	0.0	0.000999000999001	0.000240805229045	0.00531265249201
amped_920	cosine	24.0	0.0	0.0	-0.0	16.0	-0.0	12.9383426898	234.628647812	358.037179174	-361.335082514	719.372261688	-0.990873005419	-1.07803402699	25	1.27948948851	0.0	0.000999000999001	0.000240805229045	0.00531265249201
sin_535	cosine	24.0	0.0	0.0	-0.0	8.0	8.0494551315e-08	41.0269047538	285.95744635	472.565804789	-325.201056472	797.766861261	-1.45314966045	-1.80682754987	25	1.27948948851	0.0	0.000999000999001	0.000240805229045	0.00531265249201
saw_457	cosine	24.0	0.0	0.0	-0.0	16.0	-0.0	86.444386684	63.9226070663	185.827948328	-1.56617217893	187.394120507	-118.651033921	10.9062251045	25	1.27948948851	0.0	0.000999000999001	0.000240805229045	0.00531265249201
saw_452	cosine	24.0	0.0	16.0	-0.0	8.0	8.0494551315e-08	67.7804886832	55.5394756654	155.998691549	-14.0601339284	170.058825478	-11.0951070839	113.726545066	25	1.27948948851	0.0	0.000999000999001	0.000240805229045	0.00531265249201
lTrend_549	cosine	24.0	0.0	0.0	-0.0	16.0	-0.0	53.1714335325	883.364479125	1138.38681771	-1153.40570138	2291.79251909	-0.986978663575	-1.48131416523	25	1.27948948851	0.0	0.000999000999001	0.000240805229045	0.00531265249201
amped_19	cosine	24.0	0.0	16.0	-0.0	0.0	-0.0	-6.95418580717	61.5109441548	92.2917241905	-109.192104721	201.483828912	-0.845223420008	-0.638437456323	25	1.27948948851	0.0	0.000999000999001	0.000240805229045	0.00531265249201
amped_570	cosine	24.0	0.0	16.0	-0.0	0.0	-0.0	-1.73607345382	30.2023114849	53.5419509222	-46.0485503455	99.5905012677	-1.16272826225	-0.624132591092	25	1.27948948851	0.0	0.000999000999001	0.000240805229045	0.00531265249201
amped_574	cosine	24.0	0.0	0.0	-0.0	16.0	-0.0	6.98108995981	31.4972740422	44.1587898966	-42.6531573395	86.8119472361	-1.03529943974	-1.66432715353	25	1.27948948851	0.0	0.000999000999001	0.000240805229045	0.00531265249201
sin_277	cosine	24.0	0.0	0.0	-0.0	16.0	-0.0	3.49929376797	18.4711406354	26.8613998842	-23.1951030849	50.0565029691	-1.15806339751	-2.3334999362	25	1.27948948851	0.0	0.000999000999001	0.000240805229045	0.00531265249201
sin_271	cosine	24.0	0.0	8.0	8.0494551315e-08	16.0	-0.0	1.77113508874	34.5770233046	42.1678559251	-66.2729388704	108.440794796	-0.6362756299	-1.33507493913	25	1.27948948851	0.0	0.000999000999001	0.000240805229045	0.00531265249201
saw_209	cosine	24.0	0.0	16.0	-0.0	8.0	8.0494551315e-08	261.956874681	159.788265278	537.517235671	34.3149117319	503.202323939	15.6642464906	3.21085069544	25	1.27948948851	0.0	0.000999000999001	0.000240805229045	0.00531265249201
