ID	Waveform	PeriodMean	PeriodStdDev	PhaseMean	PhaseStdDev	NadirMean	NadirStdDev	Mean	Std_Dev	Max	Min	Max_Amp	FC	IQR_FC	NumBoots	TauMean	TauStdDev	empP	GammaP	GammaBH
saw_131	cosine	24.0	0.0	22.0	-0.0	18.0	-0.0	149.594684285	97.0632735443	322.003002437	-7.00319430291	329.00619674	-45.979447165	3.31775042962	25	2.14203747133	0.116006349551	0.000999000999001	1.93240814302e-17	2.12564895732e-13
saw_300	cosine	24.0	0.0	0.0	-0.0	4.0	-0.0	116.618910135	67.2350873854	233.395465555	-4.78341728384	238.178882839	-48.7926207783	2.34881348718	25	2.06257017098	0.13196647317	0.000999000999001	1.30812413443e-16	7.19468273936e-13
saw_545	cosine	24.0	0.0	14.0	-0.0	18.0	-0.0	59.3930741068	39.5698167074	136.32124684	-21.8129366753	158.134183515	-6.24955955586	2.97736491623	25	1.9478478163	0.161890102143	0.000999000999001	2.04550048673e-15	5.7232833508e-12
saw_424	cosine	24.0	0.0	18.0	-0.0	0.0	-0.0	110.145313126	76.0070263655	238.36245253	-13.3645557493	251.72700828	-17.8354190743	2.90611663727	25	1.94712416392	0.162987756271	0.000999000999001	2.08119394575e-15	5.7232833508e-12
saw_981	cosine	24.0	0.0	0.0	-0.0	20.0	-0.0	883.770982127	502.072500673	1789.65765789	18.5967883681	1771.06086952	96.2347703517	2.32965053588	25	1.92660959933	0.159908916536	0.000999000999001	3.39772098415e-15	6.42865982687e-12
saw_275	cosine	24.0	0.0	16.0	-0.0	20.0	-0.0	55.5799814532	34.5808880671	120.6380437	-5.22435031945	125.862394019	-23.0914920179	3.48526144973	25	1.92528949295	0.176386189209	0.000999000999001	3.50654172375e-15	6.42865982687e-12
saw_657	cosine	24.0	0.0	10.0	5.69182430834e-08	4.0	-0.0	70.4264485408	47.7063058499	155.654145736	-15.6687069742	171.322852711	-9.93407726577	2.56279480755	25	1.90216517375	0.156020757827	0.000999000999001	6.0892930081e-15	8.49672163606e-12
saw_753	cosine	24.0	0.0	2.0	5.69182430834e-08	6.0	-0.0	37.3193524367	24.5304892677	79.6397928773	-4.31540697706	83.9551998544	-18.4547583347	2.85490353459	25	1.9015491163	0.1783775898	0.000999000999001	6.17943391714e-15	8.49672163606e-12
saw_451	cosine	24.0	0.0	18.0	-0.0	14.0	-0.0	154.168606439	90.3485410955	316.271107791	-0.552720973937	316.823828765	-572.207538169	2.4834927962	25	1.89619539428	0.144076350191	0.000999000999001	7.0210224232e-15	8.58124962835e-12
saw_405	cosine	24.0	0.0	18.0	-0.0	14.0	-0.0	45.0515516601	28.9542242491	92.2874172749	-14.4100532424	106.697470517	-6.4043772582	2.95776168682	25	1.88397574987	0.173009836968	0.000999000999001	9.39530063953e-15	1.03348307035e-11
