ID	Waveform	PeriodMean	PeriodStdDev	PhaseMean	PhaseStdDev	NadirMean	NadirStdDev	Mean	Std_Dev	Max	Min	Max_Amp	FC	IQR_FC	NumBoots	TauMean	TauStdDev	empP	GammaP	GammaBH
amped_928	cosine	24.0	0.0	0.0	-0.0	12.0	-0.0	3.68138136125	22.5233251517	33.5356967171	-29.6502310553	63.1859277724	-1.13104335189	-1.25416520255	25	2.20328524654	0.0	0.000999000999001	0.000344188782248	0.0113993889927
amped_692	cosine	24.0	0.0	12.0	-0.0	0.0	-0.0	-8.32122900163	86.8384804955	108.555935476	-124.588235473	233.144170948	-0.871317705591	-0.949249126066	25	2.20328524654	0.0	0.000999000999001	0.000344188782248	0.0113993889927
saw_477	cosine	24.0	0.0	4.0	-0.0	20.0	-0.0	259.67508823	139.075742559	482.714613227	90.1581268819	392.556486345	5.35408875407	3.41202176243	25	2.20328524654	0.0	0.000999000999001	0.000344188782248	0.0113993889927
saw_470	cosine	24.0	0.0	20.0	-0.0	16.0	-0.0	99.1101801729	60.7411636083	175.584307976	-12.9330076473	188.517315623	-13.5764481677	3.68281119558	25	2.20328524654	0.0	0.000999000999001	0.000344188782248	0.0113993889927
lTrend_360	cosine	24.0	0.0	0.0	-0.0	8.0	8.0494551315e-08	29.9507444178	1189.9799149	1479.11588148	-1600.31190779	3079.42778927	-0.924267247082	-0.798505278157	25	2.20328524654	0.0	0.000999000999001	0.000344188782248	0.0113993889927
sin_535	cosine	24.0	0.0	20.0	-0.0	12.0	-0.0	38.8333307385	295.098284874	368.082049866	-382.332325314	750.41437518	-0.962728039183	-1.14322757883	25	2.20328524654	0.0	0.000999000999001	0.000344188782248	0.0113993889927
sin_125	cosine	24.0	0.0	20.0	-0.0	4.0	-0.0	23.1776167817	181.760957141	264.410374787	-245.332768883	509.743143669	-1.0777621595	-0.838248019359	25	2.20328524654	0.0	0.000999000999001	0.000344188782248	0.0113993889927
linear_125	cosine	24.0	0.0	12.0	-0.0	16.0	-0.0	2.18428559779	42.2554083282	67.0565545574	-76.513902487	143.570457044	-0.876396999471	-2.03860268172	25	2.20328524654	0.0	0.000999000999001	0.000344188782248	0.0113993889927
saw_455	cosine	24.0	0.0	4.0	-0.0	0.0	-0.0	52.7875825103	51.7873588586	142.339184278	-9.70065626754	152.039840545	-14.6731499758	-260.920071648	25	2.20328524654	0.0	0.000999000999001	0.000344188782248	0.0113993889927
saw_453	cosine	24.0	0.0	4.0	-0.0	0.0	-0.0	29.2693604557	22.5869342356	63.9730875421	-1.6457794544	65.6188669965	-38.8709965792	9.99332702596	25	2.20328524654	0.0	0.000999000999001	0.000344188782248	0.0113993889927
amped_16	cosine	24.0	0.0	0.0	-0.0	12.0	-0.0	34.8023767679	230.742193246	304.670334228	-316.028729392	620.69906362	-0.964058979113	-1.18113048502	25	2.20328524654	0.0	0.000999000999001	0.000344188782248	0.0113993889927
damp_504	cosine	24.0	0.0	12.0	-0.0	0.0	-0.0	-3.80326247002	31.8692698051	47.9054612096	-45.830730509	93.7361917186	-1.04526942245	-1.19216789946	25	2.20328524654	0.0	0.000999000999001	0.000344188782248	0.0113993889927
saw_202	cosine	24.0	0.0	0.0	-0.0	8.0	8.0494551315e-08	127.936351986	79.7328959311	244.746472008	-14.6225695874	259.369041595	-16.7375829907	2.55213309677	25	2.20328524654	0.0	0.000999000999001	0.000344188782248	0.0113993889927
saw_209	cosine	24.0	0.0	16.0	-0.0	12.0	-0.0	224.573212332	121.557236138	401.147591829	28.8558876137	372.291704216	13.9017588785	3.05659221377	25	2.20328524654	0.0	0.000999000999001	0.000344188782248	0.0113993889927
amped_962	cosine	24.0	0.0	0.0	-0.0	12.0	-0.0	137.1067629	667.823613804	908.369704963	-1024.31258449	1932.68228946	-0.886809084174	-1.62101613284	25	2.20328524654	0.0	0.000999000999001	0.000344188782248	0.0113993889927
amped_960	cosine	24.0	0.0	12.0	-0.0	4.0	-0.0	-11.3376803141	54.9520494009	71.4683168041	-75.2816621728	146.749978977	-0.94934562736	-0.954138672789	25	2.20328524654	0.0	0.000999000999001	0.000344188782248	0.0113993889927
sin_90	cosine	24.0	0.0	12.0	-0.0	0.0	-0.0	-7.49607615437	66.6570661267	76.7390592793	-98.0895222074	174.828581487	-0.782336966806	-0.792559320778	25	2.20328524654	0.0	0.000999000999001	0.000344188782248	0.0113993889927
saw_435	cosine	24.0	0.0	16.0	-0.0	12.0	-0.0	21.0788858387	15.4947849129	42.8291859261	-6.45595866373	49.2851445898	-6.63405516624	3.80713605279	25	2.20328524654	0.0	0.000999000999001	0.000344188782248	0.0113993889927
saw_881	cosine	24.0	0.0	20.0	-0.0	0.0	-0.0	35.0143458577	25.6406847785	77.6477786424	4.71836062795	72.9294180144	16.4565163125	7.12769771916	25	2.20328524654	0.0	0.000999000999001	0.000344188782248	0.0113993889927
damp_929	cosine	24.0	0.0	0.0	-0.0	8.0	8.0494551315e-08	60.3727780039	813.213927874	1125.84269787	-1069.01168061	2194.85437848	-1.0531622042	-0.802183575682	25	2.20328524654	0.0	0.000999000999001	0.000344188782248	0.0113993889927
sin_70	cosine	24.0	0.0	0.0	-0.0	12.0	-0.0	55.7892320273	359.009372643	478.395277862	-464.019947112	942.415224975	-1.03097998446	-1.42122086885	25	2.20328524654	0.0	0.000999000999001	0.000344188782248	0.0113993889927
saw_149	cosine	24.0	0.0	4.0	-0.0	0.0	-0.0	494.794400121	380.314480842	1159.37544488	85.7253422185	1073.65010266	13.5243023227	9.47240999872	25	2.20328524654	0.0	0.000999000999001	0.000344188782248	0.0113993889927
lTrend_393	cosine	24.0	0.0	4.0	-0.0	20.0	-0.0	-9.83782296122	39.804068133	47.0921438629	-67.1265398839	114.218683747	-0.701542846456	-0.792332956609	25	2.20328524654	0.0	0.000999000999001	0.000344188782248	0.0113993889927
saw_600	cosine	24.0	0.0	8.0	8.0494551315e-08	16.0	-0.0	300.976985625	200.195977659	595.439868031	-50.4735111337	645.913379165	-11.79707642	4.00335189194	25	2.20328524654	0.0	0.000999000999001	0.000344188782248	0.0113993889927
saw_385	cosine	24.0	0.0	8.0	8.0494551315e-08	4.0	-0.0	33.1050059022	24.1026514488	73.3290280593	-0.951765996038	74.2807940553	-77.0452278864	4.06873180869	25	2.20328524654	0.0	0.000999000999001	0.000344188782248	0.0113993889927
amped_773	cosine	24.0	0.0	0.0	-0.0	12.0	-0.0	8.15260895834	25.4587753114	49.23445352	-26.0009089311	75.2353624511	-1.89356663071	-1.65342944515	25	2.20328524654	0.0	0.000999000999001	0.000344188782248	0.0113993889927
saw_164	cosine	24.0	0.0	16.0	-0.0	8.0	8.0494551315e-08	9430.35579782	4833.64141208	17709.4880074	575.584861934	17133.9031454	30.7678140594	1.65818501029	25	2.20328524654	0.0	0.000999000999001	0.000344188782248	0.0113993889927
saw_161	cosine	24.0	0.0	12.0	-0.0	4.0	-0.0	67.7112420125	40.6703122707	135.370576528	2.97577206948	132.394804458	45.4909090371	2.85371286569	25	2.20328524654	0.0	0.000999000999001	0.000344188782248	0.0113993889927
