pVal	phase	peak.shape	period
3830406C13Rik	0.000609182158456096	10	6	24
3830417A13Rik	0.00324830019903351	6	12	24
4430402I18Rik	0.0233214894964676	4	14	24
4632404H12Rik	0.00324830019903351	14	12	24
4632415L05Rik	0.117384978185782	22	10	24
4833420G17Rik	5.43433188933208e-06	16	6	24
4833427G06Rik	0.04106938985088	24	4	24
4921504E06Rik	0.00584198370899387	24	18	24
4921507P07Rik	0.0954414934646499	24	6	24
4921517D22Rik	0.0477825549056037	24	14	24
4921524J17Rik	6.28729395829004e-06	20	12	24
4921524L21Rik	0.000200605040378177	22	4	24
4921530L21Rik	0.0337984986564103	10	10	24
4921536K21Rik	0.000791584783283439	24	10	24
4922502D21Rik	0.0939863025830009	6	16	24
4930415O20Rik	0.020598739600286	24	18	24
4930429B21Rik	0.0065368995095635	24	10	24
4930430A15Rik	0.0135059977369846	22	12	24
4930430F08Rik	1.49328574683515e-06	20	20	24
4930432K21Rik	0.0102673954355504	22	14	24
4930433N12Rik	0.0018007490417204	22	16	24
4930447C04Rik	0.00538548619792769	22	12	24
4930451I11Rik	0.00419915605970521	24	12	24
4930452B06Rik	0.0127329095876849	24	10	24
4930465K10Rik	0.0147252414725509	24	18	24
4930470P17Rik	0.00140884270991091	24	10	24
4930471G03Rik	0.0102673954355504	24	10	24
4930474N05Rik	0.00404236302418232	24	10	24
4930483J18Rik	0.0282888271874078	4	6	24
4930486L24Rik	0.000613972697173935	24	8	24
4930503B20Rik	0.00140884270991091	24	10	24
4930503L19Rik	0.00584198370899387	22	18	24
4930505A04Rik	0.0102673954355504	16	14	24
4930515G01Rik	0.000159814211991454	22	14	24
4930519G04Rik	9.16776606805482e-05	20	20	24
4930522H14Rik	0.000251914336070215	20	16	24
4930524B15Rik	0.00404236302418232	20	10	24
4930539E08Rik	0.0749407579589901	16	18	24
4930544G11Rik	0.0659578046790955	22	10	24
4930544M13Rik	0.036128515962622	22	4	24
4930548H24Rik	0.0196489137808847	2	8	24
4930550C14Rik	0.00492194794004719	2	4	24
4930556L07Rik	1.09670937478029e-05	24	10	24
4930578I06Rik	0.036128515962622	14	4	24
4930579K19Rik	0.0337984986564103	20	10	24
4930591A17Rik	0.000305569945879247	24	12	24
4931406B18Rik	0.111139269477177	8	12	24
4931406C07Rik	3.32138620115884e-05	4	8	24
4931406H21Rik	0.017457032098025	24	18	24
4931414P19Rik	2.88852555784315e-06	2	10	24
4931417E11Rik	0.000793466941121324	24	12	24
4931428F04Rik	0.000791584783283439	24	14	24
4931428L18Rik	2.49918465586313e-05	24	10	24
4931429L15Rik	0.00515963831672148	24	10	24
4931431C16Rik	0.0102673954355504	24	14	24
4932414N04Rik	0.00587637160603702	24	8	24
4932435O22Rik	0.0166900346524078	24	12	24
4932438A13Rik	7.43162756898075e-05	4	12	24
4932438H23Rik	0.0034147035592038	24	4	24
4933400A11Rik	0.0233214894964676	24	14	24
4933402J07Rik	0.0329298315594445	20	6	24
4933404G15Rik	0.0329298315594445	22	18	24
4933411K16Rik	0.0715925457969387	14	16	24
4933414I15Rik	0.000791584783283439	24	10	24
4933415F23Rik	7.8630843007703e-05	18	10	24
4933425L06Rik	0.00685364082963444	10	12	24
4933427D06Rik	0.036128515962622	8	4	24
4933427D14Rik	0.0038925310630455	14	6	24
4933427E11Rik	0.00515963831672148	8	10	24
4933430I17Rik	0.00100483028769744	24	18	24
4933431E20Rik	0.000159814211991454	22	14	24
4933434E20Rik	0.00587201111383249	20	4	24
4933436I01Rik	0.0240977690412405	16	20	24
4933440M02Rik	0.020598739600286	22	18	24
5330439B14Rik	0.00973108352008835	8	4	24
5430419D17Rik	7.8630843007703e-05	24	10	24
5730455P16Rik	0.0302205012783786	4	12	24
6030458C11Rik	0.00584198370899387	18	6	24
6030498E09Rik	0.00900460408765106	22	16	24
6330403K07Rik	0.00822172812572888	24	14	24
6330549D23Rik	0.136450485418528	22	16	24
6430548M08Rik	0.00249245407649783	24	12	24
6820408C15Rik	0.0147252414725509	2	18	24
8030451A03Rik	0.0316751684993404	22	4	24
8030462N17Rik	6.10578977523416e-06	20	4	24
9030612E09Rik	0.0659578046790955	24	14	24
9130008F23Rik	0.0591507992678942	22	4	24
9130401M01Rik	2.28768005705319e-05	20	12	24
9330133O14Rik	0.000159814211991454	24	10	24
9330175E14Rik	0.000460056002161857	20	16	24
9330182L06Rik	0.163454514062225	20	20	24
9530002B09Rik	0.000460056002161857	24	16	24
9530003J23Rik	0.00729726557000433	4	8	24
9530068E07Rik	4.50705671386506e-05	14	6	24
9530077C05Rik	0.0103270949063888	20	18	24
9630013D21Rik	0.000469653747974518	22	6	24
9930012K11Rik	0.00315142855156491	6	6	24
9930021J03Rik	0.00315142855156491	4	6	24
9930104L06Rik	0.00900460408765106	8	8	24
a	0.0123617024661352	20	18	24
A130010J15Rik	0.00015392988601406	20	12	24
A1cf	5.42737444576864e-05	2	14	24
A230050P20Rik	1.10397631608571e-06	10	10	24
A2m	0.0363461918828894	24	12	24
A2ml1	6.98584540642112e-06	14	16	24
A330008L17Rik	0.0954414934646499	20	6	24
A430005L14Rik	5.07770882927591e-05	20	12	24
A430033K04Rik	0.000585624786325778	14	14	24
A430093F15Rik	0.0233214894964676	24	10	24
A4galt	0.0534710407563317	2	8	24
A530016L24Rik	0.00470166531749154	2	8	24
A530021J07Rik	0.0233214894964676	10	14	24
A530053G22Rik	0.00825596140776477	16	20	24
A630001G21Rik	0.0103270949063888	16	18	24
A630023P12Rik	0.0166900346524078	22	12	24
A630038E17Rik	0.0155706875249889	24	4	24
A630052C17Rik	0.00685364082963444	20	12	24
A730020M07Rik	3.70437783700249e-05	24	14	24
A730089K16Rik	0.0579219679382054	24	18	24
A830005F24Rik	0.0249623967301128	16	12	24
A930012O16Rik	0.0281642727407534	24	10	24
A930018P22Rik	0.00584198370899387	22	6	24
A930024E05Rik	0.000585624786325778	20	14	24
AA986860	0.000206418455786314	18	18	24
Aaas	4.50705671386506e-05	6	18	24
Aacs	7.8630843007703e-05	22	10	24
Aadac	0.00973108352008835	22	20	24
Aadat	0.00143106273560429	20	12	24
Aagab	1.63388340524798e-05	14	6	24
Aamdc	0.000217997968598017	20	12	24
Aamp	0.000525784357071501	18	4	24
Aanat	0.00282584842813374	6	4	24
Aar2	0.0563042133373533	18	10	24
Aard	0.0114251903314547	20	20	24
Aars2	0.000217997968598017	24	12	24
Aarsd1	0.000416633824775976	2	20	24
Aasdh	5.42737444576864e-05	10	14	24
Aasdhppt	0.00139174179246791	8	8	24
Aass	6.97513379189397e-05	18	4	24
Aatf	0.00106058472124402	14	10	24
AB124611	0.0329298315594445	18	18	24
Abat	7.12679810282996e-06	12	10	24
Abca1	0.00107037864169548	4	12	24
Abca12	0.000585624786325778	24	10	24
Abca13	0.036128515962622	24	4	24
Abca14	0.0240977690412405	6	20	24
Abca2	0.0233214894964676	10	14	24
Abca3	0.000812816045695085	12	8	24
Abca4	0.0329298315594445	24	18	24
Abca5	0.04106938985088	10	4	24
Abca6	0.000112689847753252	20	14	24
Abca7	0.0281642727407534	22	14	24
Abca9	0.00106058472124402	24	10	24
Abcb10	0.00410837902845506	4	20	24
Abcb11	5.65523709814895e-11	10	10	24
Abcb6	0.0023131077032347	16	16	24
Abcb9	0.000224349746807567	24	14	24
Abcc1	0.0281642727407534	14	14	24
Abcc10	0.0768230157230259	16	10	24
