pVal	phase	peak.shape	period
4930433N12Rik	0.630934240571338	18	18	24
4930447C04Rik	0.00583309341699673	18	10	24
4930451I11Rik	0.216718986953825	18	6	24
4930452B06Rik	0.295395697572957	18	10	24
4930465K10Rik	0.858973441181849	18	14	24
4930470P17Rik	0.550327190046075	18	10	24
4930471G03Rik	0.135983526497674	18	8	24
4930474N05Rik	0.000587798046842447	18	14	24
4930483J18Rik	0.420486754910933	18	14	24
4930486L24Rik	0.887946637578719	18	14	24
4930503B20Rik	0.012786215325003	18	8	24
4930503L19Rik	0.416075828180996	4	6	24
4930505A04Rik	0.00292645849123197	18	10	24
4930515G01Rik	0.0122534563531279	2	16	24
4930519G04Rik	0.261878455651998	18	14	24
4930522H14Rik	0.95972900352913	24	16	24
4930524B15Rik	0.94205401590706	18	14	24
4930539E08Rik	0.0039161767104419	18	6	24
4930544G11Rik	1.62184267894027e-05	18	10	24
4930544M13Rik	0.0345303522593686	18	8	24
4930548H24Rik	0.838773602076701	14	6	24
4930550C14Rik	0.866160299111506	18	6	24
4930556L07Rik	0.339269253671642	22	4	24
4930578I06Rik	0.961834803283483	6	6	24
4930579K19Rik	0.170513221429431	18	18	24
4930591A17Rik	0.00202433957124914	18	14	24
4931406B18Rik	0.0970167125803758	18	14	24
4931406C07Rik	1.73092386807385e-05	6	10	24
4931406H21Rik	0.000110301369537742	24	18	24
4931414P19Rik	5.233765297433e-08	24	18	24
4931417E11Rik	0.332582602313779	22	6	24
4931428F04Rik	0.00445044704553028	22	14	24
4931428L18Rik	0.0220737261548023	18	10	24
4931429L15Rik	0.28848605586923	18	8	24
4931431C16Rik	0.585999917020974	18	14	24
4932414N04Rik	0.86869357720488	18	14	24
4932435O22Rik	0.564873838238237	18	10	24
4932438A13Rik	4.85903543659525e-09	4	16	24
4932438H23Rik	0.109116023188332	18	6	24
4933400A11Rik	0.931411468879172	18	8	24
4933402J07Rik	0.849678369128141	10	18	24
4933404G15Rik	0.0373530255374032	18	10	24
4933411K16Rik	0.00521665007812298	12	6	24
4933414I15Rik	0.103572229642702	10	14	24
4933415F23Rik	0.350816421495619	18	12	24
4933425L06Rik	0.95728950494111	18	10	24
4933427D06Rik	0.737009398627237	6	6	24
4933427D14Rik	0.0450748506528707	12	16	24
4933427E11Rik	0.0475108573654178	18	10	24
4933430I17Rik	0.949386870773421	18	6	24
4933431E20Rik	7.45279523903665e-05	4	12	24
4933434E20Rik	0.000969780397095004	18	6	24
4933436I01Rik	0.912595075568482	18	14	24
4933440M02Rik	0.941858145715229	18	14	24
5330439B14Rik	0.0300846621615228	22	4	24
5430419D17Rik	0.0759921391952101	18	14	24
5730455P16Rik	0.00330950983925231	12	6	24
6030458C11Rik	0.892754085130273	16	10	24
6030498E09Rik	0.472158348972281	18	10	24
6330403K07Rik	0.0965132096332055	18	14	24
6330549D23Rik	0.530520672083887	8	6	24
6430548M08Rik	1.4838176823354e-05	22	16	24
6820408C15Rik	0.691407141507233	18	20	24
