pVal	phase	peak.shape	period
4930451I11Rik	0.225026272432916	24	12	24
4930452B06Rik	0.720281604229147	16	4	24
4930465K10Rik	0.0107808967449209	4	4	24
4930470P17Rik	0.510363276283183	20	16	24
4930471G03Rik	0.0573836710722583	20	8	24
4930474N05Rik	0.788155019263494	16	20	24
4930483J18Rik	0.103441142993758	4	8	24
4930486L24Rik	0.0757810196716312	24	8	24
4930503B20Rik	0.773782797230177	16	4	24
4930503L19Rik	0.948261757628361	16	20	24
4930505A04Rik	0.288529964926549	8	4	24
4930515G01Rik	0.519291397922113	20	12	24
4930519G04Rik	0.883182534438062	4	8	24
4930522H14Rik	0.00850470227814526	12	12	24
4930524B15Rik	0.886936270735144	16	12	24
4930539E08Rik	0.338099933919585	4	8	24
4930544G11Rik	0.00929293956183602	4	16	24
4930544M13Rik	0.780381186996355	4	20	24
4930548H24Rik	0.932232670834816	24	16	24
4930550C14Rik	0.883182534438062	20	12	24
4930556L07Rik	0.720281604229147	24	12	24
4930578I06Rik	0.186194057388764	12	20	24
4930579K19Rik	0.00383571392263508	4	8	24
4930591A17Rik	0.682953286229858	16	8	24
4931406B18Rik	0.058900090749068	20	16	24
4931406C07Rik	0.108813771836188	20	16	24
4931406H21Rik	0.314029322258468	16	16	24
4931414P19Rik	0.0944529727714804	20	20	24
4931417E11Rik	0.000483234212711161	24	16	24
4931428F04Rik	0.456125146139379	4	8	24
4931428L18Rik	0.917520280070839	24	20	24
4931429L15Rik	0.175412663718464	4	8	24
4931431C16Rik	0.0862009524947984	4	8	24
4932414N04Rik	0.903962452769447	16	8	24
4932435O22Rik	0.965436130737559	20	8	24
4932438A13Rik	0.00207975801296211	24	20	24
4932438H23Rik	0.491889588216645	4	4	24
4933400A11Rik	0.456125146139379	12	20	24
4933402J07Rik	0.0209282878718262	24	8	24
4933404G15Rik	0.809284193922146	16	4	24
4933411K16Rik	0.0225339687918492	12	4	24
4933414I15Rik	0.758836984699842	16	16	24
4933415F23Rik	0.324168039624338	20	20	24
4933425L06Rik	0.903962452769447	16	16	24
4933427D06Rik	0.63724263937602	20	20	24
4933427D14Rik	0.879740821839602	8	12	24
4933427E11Rik	0.288529964926549	16	20	24
4933430I17Rik	0.0095830193288186	4	4	24
4933431E20Rik	0.00481877824957858	8	4	24
4933434E20Rik	0.0613243509150637	20	4	24
4933436I01Rik	0.0862009524947984	24	8	24
4933440M02Rik	0.0582930920551009	16	16	24
5330439B14Rik	0.848314510386836	16	12	24
5430419D17Rik	0.278912299428997	4	4	24
5730455P16Rik	0.278912299428997	12	8	24
6030458C11Rik	0.0112255375387587	16	4	24
6030498E09Rik	0.519291397922113	24	8	24
6330403K07Rik	0.106989714681366	20	12	24
6330549D23Rik	0.0104899509893091	12	8	24
6430548M08Rik	0.162084019812169	20	16	24
6820408C15Rik	0.106266057541219	4	4	24
8030451A03Rik	0.874026929435918	12	4	24
8030462N17Rik	0.00316858071257746	16	12	24
9030612E09Rik	0.886936270735144	4	12	24
9130008F23Rik	0.720281604229147	4	8	24
9130401M01Rik	0.0209799019786182	20	4	24
9330133O14Rik	0.918825545155148	12	4	24
9330175E14Rik	0.720281604229147	8	8	24
9330182L06Rik	0.0209282878718262	24	8	24
9530002B09Rik	0.859917258727593	4	12	24
9530003J23Rik	0.245944794108322	4	16	24
9530068E07Rik	0.107511140480184	12	8	24
9530077C05Rik	0.103803859773971	4	8	24
9630013D21Rik	0.00242638434845579	8	20	24
9930012K11Rik	0.258887205815076	20	20	24
9930021J03Rik	0.0896489905945903	8	12	24
9930104L06Rik	0.861858384588014	4	4	24
a	0.859917258727593	8	8	24
A130010J15Rik	0.0488326717009277	16	12	24
A1cf	0.576225283383317	8	20	24
A230050P20Rik	0.0037616952384104	24	16	24
A2m	0.0436005997329712	4	12	24
A2ml1	0.136079372978669	16	8	24
A330008L17Rik	0.204414503050212	20	12	24
A430005L14Rik	0.0927244193905175	20	12	24
A430033K04Rik	0.932854541265949	24	20	24
A430093F15Rik	0.78350762235274	8	8	24
A4galt	0.912152653258746	4	8	24
A530016L24Rik	0.290151397818167	4	12	24
A530021J07Rik	0.491381290701482	4	8	24
A530053G22Rik	0.0978262932276047	4	4	24
A630001G21Rik	0.519291397922113	16	16	24
A630023P12Rik	0.953052556992902	12	12	24
A630038E17Rik	0.0426337281214524	20	16	24
A630052C17Rik	0.628133220576323	20	16	24
A730020M07Rik	0.921184498073651	16	12	24
A730089K16Rik	0.0999931048939661	20	12	24
A830005F24Rik	0.0910796523153561	12	12	24
A930012O16Rik	0.591116264447621	4	4	24
A930018P22Rik	0.151562039343262	20	20	24
A930024E05Rik	0.853691607787323	20	20	24
AA986860	0.00268110675679632	16	12	24
Aaas	0.106989714681366	8	12	24
Aacs	0.00304671222363218	20	12	24
Aadac	0.171710901816122	4	12	24
Aadat	0.127519269049463	8	20	24
Aagab	0.0230935800335485	8	12	24
Aamdc	0.510363276283183	12	16	24
Aamp	0.163220657754283	8	20	24
Aanat	0.964378625001534	8	4	24
Aar2	0.206882285987516	12	20	24
Aard	0.0613243509150637	4	4	24
Aars2	0.576225283383317	4	16	24
Aarsd1	0.185941532952665	20	16	24
Aasdh	0.00506887612463783	4	12	24
Aasdhppt	0.724672179286616	8	4	24
Aass	0.659374832170001	24	16	24
Aatf	0.00094694679660881	8	12	24
AB124611	0.912111236424177	4	20	24
Abat	0.0250180450363442	12	4	24
Abca1	0.659165726818671	8	20	24
Abca12	0.720281604229147	4	20	24
Abca13	0.942274078237427	4	20	24
Abca14	0.527373218793948	8	20	24
Abca2	0.000525254579033871	8	8	24
Abca3	0.456125146139379	12	4	24
Abca4	0.00998231180085271	20	20	24
Abca5	0.103803859773971	12	8	24
Abca6	0.00155746454531592	12	16	24
Abca7	0.104927565699182	20	12	24
Abca9	0.0107808967449209	16	20	24
Abcb10	0.0105601585929955	20	8	24
Abcb11	0.000138260560158593	8	8	24
Abcb6	0.878481505955709	24	4	24
Abcb9	0.29603415117802	20	8	24
Abcc1	0.917520280070839	4	16	24
Abcc10	0.85511666282712	16	16	24
Abcc12	0.948583248753201	4	20	24
Abcc2	0.000504244395872516	12	16	24
Abcc3	0.0558094850810756	12	16	24
Abcc5	0.577059929853098	4	8	24
Abcc6	0.0797605395560296	12	8	24
Abcc9	0.00850470227814526	16	12	24
Abcd1	0.314029322258468	12	16	24
Abcd2	0.0574673016631989	12	8	24
Abcd3	0.687933806982074	12	8	24
Abcd4	0.0919865263725956	16	16	24
Abce1	0.324168039624338	16	20	24
Abcf1	0.628058644516936	8	12	24
Abcf2	0.130845550941028	16	8	24
Abcf3	0.577059929853098	8	16	24
Abcg1	0.577059929853098	16	16	24
Abcg2	0.350599605696951	16	16	24
Abcg3	0.843504950469846	8	12	24
Abcg4	0.677673291651841	20	12	24
Abcg5	0.000132499703485318	12	16	24
Abcg8	0.00149257018926109	12	16	24
Abhd1	0.718215320490012	20	16	24
Abhd10	0.0340051384131901	12	16	24
Abhd11	0.0519605550754842	20	8	24
Abhd12	0.682953286229858	12	16	24
Abhd13	0.020580152154391	16	16	24
Abhd14a	0.000144021416831868	24	16	24
Abhd15	0.00250576468978086	16	16	24
Abhd16a	0.000546264762195225	16	16	24
Abhd16b	0.0481116250698927	20	16	24
Abhd17a	0.000986402913134178	20	12	24
Abhd17b	0.00142767583320626	16	8	24
Abhd17c	0.00632570642358305	12	8	24
Abhd2	0.868156695301513	8	8	24
Abhd3	0.0463410088276657	24	12	24
Abhd4	0.0538850200782799	12	8	24
Abhd5	0.251707222613541	4	8	24
Abhd6	0.00481877824957858	24	4	24
