pVal	phase	peak.shape	period
4930451I11Rik	0.950758654156775	12	16	24
4930452B06Rik	0.895399549984069	14	14	24
4930465K10Rik	0.969833917352417	8	12	24
4930470P17Rik	0.861893632858818	8	16	24
4930471G03Rik	0.602739892705983	8	18	24
4930474N05Rik	0.946860393319987	12	16	24
4930483J18Rik	0.936622129342118	8	8	24
4930486L24Rik	0.95930862079447	12	12	24
4930503B20Rik	0.883385346376945	12	8	24
4930503L19Rik	0.345856847963666	14	20	24
4930505A04Rik	0.936441448284313	6	18	24
4930515G01Rik	0.58163250937619	18	12	24
4930519G04Rik	0.944623759164109	20	4	24
4930522H14Rik	0.100845713650077	10	12	24
4930524B15Rik	0.499769280310871	8	16	24
4930539E08Rik	0.166451547954436	2	6	24
4930544G11Rik	0.233623878026704	2	16	24
4930544M13Rik	0.86189584999034	2	14	24
4930548H24Rik	0.864817398743697	4	10	24
4930550C14Rik	0.829051011467795	12	20	24
4930556L07Rik	0.895285978806326	12	12	24
4930578I06Rik	0.00187589764678362	12	12	24
4930579K19Rik	0.0628751275259756	2	8	24
4930591A17Rik	0.276790230492773	14	10	24
4931406B18Rik	0.837425264108884	12	12	24
4931406C07Rik	0.00252425351288072	24	8	24
4931406H21Rik	0.349724123761647	16	10	24
4931414P19Rik	0.0023909646191397	20	16	24
4931417E11Rik	0.014063650655248	22	10	24
4931428F04Rik	0.907061512499929	12	12	24
4931428L18Rik	0.953071605886168	22	4	24
4931429L15Rik	0.803695300178533	16	18	24
4931431C16Rik	0.899907386529516	18	16	24
4932414N04Rik	0.969965030489603	16	12	24
4932435O22Rik	0.941146655847695	12	4	24
4932438A13Rik	2.17943938671459e-06	24	12	24
4932438H23Rik	0.879049761980623	8	12	24
4933400A11Rik	0.0228897867027918	8	12	24
4933402J07Rik	0.135772712597135	22	8	24
4933404G15Rik	0.852202982125333	8	16	24
4933411K16Rik	0.0259956870908264	10	4	24
4933414I15Rik	0.949642183916518	14	6	24
4933415F23Rik	0.116319612193174	18	18	24
4933425L06Rik	0.938473651989379	8	16	24
4933427D06Rik	0.923158387951587	6	4	24
4933427D14Rik	0.855708570620782	22	10	24
4933427E11Rik	0.927218434999927	14	20	24
4933430I17Rik	0.931943849444542	2	14	24
4933431E20Rik	0.0234218566857941	6	4	24
4933434E20Rik	0.517754624632979	18	8	24
4933436I01Rik	0.598122074749836	20	10	24
4933440M02Rik	0.629471186505853	14	10	24
5330439B14Rik	0.860442310465011	8	18	24
5430419D17Rik	0.539187769370437	18	16	24
5730455P16Rik	0.839415091297578	24	12	24
6030458C11Rik	0.254373896285508	14	4	24
6030498E09Rik	0.490841966389628	12	20	24
6330403K07Rik	0.193008438583052	18	14	24
6330549D23Rik	0.00279463397042302	10	4	24
6430548M08Rik	0.00627240068917168	16	18	24
6820408C15Rik	0.937055664294618	8	16	24
8030451A03Rik	0.199930212155071	12	12	24
8030462N17Rik	0.266692586185268	14	12	24
9030612E09Rik	0.898366892227713	6	18	24
9130008F23Rik	0.938857701031297	12	20	24
9130401M01Rik	0.00680168707389581	18	10	24
9330133O14Rik	0.948738556730598	12	12	24
9330175E14Rik	0.930318185700191	6	8	24
9330182L06Rik	0.352992573516429	18	6	24
9530002B09Rik	0.869720548674824	10	4	24
9530003J23Rik	0.138066585571269	2	10	24
9530068E07Rik	0.00620786907478563	12	4	24
9530077C05Rik	0.903789565285013	2	12	24
9630013D21Rik	0.108276673301117	16	10	24
9930012K11Rik	0.925755999901096	22	4	24
9930021J03Rik	0.608085504043416	6	12	24
9930104L06Rik	0.918422579684103	12	20	24
a	0.923628992915375	8	6	24
A130010J15Rik	0.165008323356144	14	12	24
A1cf	0.768107995422376	24	8	24
A230050P20Rik	1.55767759985695e-06	2	10	24
A2m	0.9563294015374	6	8	24
A2ml1	0.569886577248859	8	14	24
A330008L17Rik	0.499769280310871	18	4	24
A430005L14Rik	0.563422779035271	18	10	24
A430033K04Rik	0.970658523424436	22	14	24
A430093F15Rik	0.885754043934115	6	8	24
A4galt	0.856254013015724	12	8	24
A530016L24Rik	0.906093306338758	8	6	24
A530021J07Rik	0.893059045771238	20	8	24
A530053G22Rik	0.288958649271767	2	6	24
A630001G21Rik	0.969966895140939	10	20	24
A630023P12Rik	0.11536962063218	8	16	24
A630038E17Rik	0.133687454037342	18	6	24
A630052C17Rik	0.920580518855974	4	12	24
A730020M07Rik	0.661408769729275	20	4	24
A730089K16Rik	0.776065156879117	18	12	24
A830005F24Rik	0.839079453272861	14	18	24
A930012O16Rik	0.865892567240768	2	14	24
A930018P22Rik	0.564524558886143	18	16	24
A930024E05Rik	0.903469124812797	18	14	24
AA986860	6.89007548014823e-05	14	12	24
Aaas	0.0143451660119315	6	12	24
Aacs	3.12590925078657e-05	18	10	24
Aadac	0.0133919000832232	24	12	24
Aadat	0.915096617659303	16	10	24
Aagab	0.0312868664542497	12	6	24
Aamdc	0.894627581552296	16	10	24
Aamp	0.00560690868369945	6	14	24
Aanat	0.848846721536877	12	12	24
Aar2	0.52866105227703	10	20	24
Aard	0.0780968943969319	16	14	24
Aars2	0.177536629869631	12	4	24
Aarsd1	0.886534207905019	14	20	24
Aasdh	4.05145487010871e-06	24	12	24
Aasdhppt	0.000525336706830775	4	8	24
Aass	0.00423157834361943	20	16	24
Aatf	0.00421449832829901	6	12	24
AB124611	0.674301826175837	14	4	24
Abat	0.013213149371306	10	4	24
Abca1	0.704309869114693	18	6	24
Abca12	0.812025280417037	2	6	24
Abca13	0.801484503626983	12	20	24
Abca14	0.390666611347316	10	14	24
Abca2	2.28493483652566e-06	6	8	24
Abca3	0.0245859735657731	8	10	24
Abca4	0.932707864566739	8	16	24
Abca5	0.854797493599412	22	20	24
Abca6	0.00391253373462158	10	16	24
Abca7	0.856085474938786	18	12	24
Abca9	3.04677230772869e-05	20	14	24
Abcb10	0.00618377434833115	18	8	24
Abcb11	4.92747255542053e-09	6	8	24
Abcb6	0.114170013519239	22	4	24
Abcb9	0.912398562316834	12	14	24
Abcc1	0.940595417942577	4	14	24
Abcc10	0.0679116988062631	12	8	24
Abcc12	0.105967485527852	12	12	24
Abcc2	1.21980967424435e-05	10	16	24
Abcc3	0.978697597677375	8	18	24
Abcc5	0.906364899589854	12	10	24
Abcc6	0.000649788010524415	10	8	24
Abcc9	0.0322917964552415	20	6	24
Abcd1	0.229601961528739	10	10	24
Abcd2	0.0180945411171612	14	4	24
Abcd3	0.905757578646291	24	12	24
Abcd4	0.00430172738002516	18	10	24
Abce1	0.0549844753779554	14	18	24
Abcf1	0.921604852035992	6	12	24
Abcf2	0.619118088801834	16	10	24
Abcf3	0.0533829858038402	6	14	24
Abcg1	0.340354283569011	12	18	24
Abcg2	0.017751987197623	24	6	24
Abcg3	0.92190727021714	16	16	24
Abcg4	0.453508854448162	12	12	24
Abcg5	1.54661222357215e-08	12	10	24
Abcg8	6.29982620254715e-07	12	8	24
Abhd1	0.913724395233249	24	10	24
Abhd10	0.657257275803508	14	12	24
Abhd11	0.0179591601139905	18	8	24
Abhd12	0.864190983957813	16	10	24
Abhd13	0.00262668353415387	14	18	24
Abhd14a	2.08331994813313e-05	22	16	24
Abhd15	0.000137669741196413	14	16	24
Abhd16a	0.0128934266406526	10	20	24
Abhd16b	0.00484566345338985	18	16	24
Abhd17a	0.25783671680682	12	18	24
Abhd17b	6.32117475986685e-05	14	8	24
Abhd17c	1.12702866936738e-06	8	10	24
Abhd2	0.923047681696778	8	10	24
Abhd3	0.00151879491317102	22	12	24
Abhd4	0.00466754202336103	4	14	24
Abhd5	0.108242772621731	20	14	24
Abhd6	2.20970937819673e-06	20	12	24
Abhd8	0.000734792920892346	20	14	24
Abi2	0.958643805692565	16	10	24
Abi3	0.252783311945458	12	8	24
Abi3bp	0.529202810678392	22	14	24
Abl1	6.18709820639585e-05	8	20	24
Ablim1	0.0219165472381087	22	16	24
Ablim2	0.0694065426768081	14	10	24
Ablim3	0.00212430695748366	24	10	24
Abo	0.109458983550065	10	4	24
Abr	0.872685275229258	4	10	24
Abra	0.853702545390757	12	12	24
Abraxas1	0.379597860497098	6	6	24
Abraxas2	0.879060247253742	24	8	24
Abtb1	6.23102441380643e-10	8	10	24
Acaa2	0.368787984394011	24	4	24
Acaca	0.000357728990737753	16	10	24
Acacb	2.23262633574532e-08	22	14	24
Acad11	0.394052340780234	16	10	24
Acad8	0.000880736983869077	4	10	24
Acad9	0.0169831188034476	4	8	24
Acadl	0.892399482564465	16	10	24
Acadm	0.673984711713046	6	20	24
Acads	0.166579831197631	10	16	24
Acadsb	0.187769927890131	24	12	24
Acadvl	0.94939817917398	24	20	24
Acan	0.917700258122038	18	4	24
Acap1	0.284470697024786	10	10	24
Acap3	0.000353646207531226	14	16	24
Acat1	0.894163919215427	14	12	24
Acbd3	0.00067832491207696	4	4	24
Acbd4	4.99883017481591e-05	24	14	24
Acbd5	0.0222170743513971	10	8	24
Acbd6	0.521462550698901	8	12	24
Accs	9.90105799753333e-07	10	6	24
Acd	0.163104195496197	8	12	24
Ace2	0.341303963611455	16	12	24
Acer1	0.965507690390057	20	10	24
Acer2	0.390666611347316	14	10	24
Acer3	0.302964946433064	20	16	24
Acin1	0.248312902460221	6	6	24
Ackr1	0.760435364000341	8	6	24
Ackr2	0.0241940058073038	20	20	24
