pVal	phase	peak.shape	period
4632404H12Rik	0.195308789154799	15	11	24
4632415L05Rik	0.832768170250687	19	18	24
4833420G17Rik	3.7257559093291e-07	16	6	24
4833427G06Rik	0.91661050217821	24	8	24
4921504E06Rik	0.428657885202918	23	17	24
4921507P07Rik	0.163721252445389	24	5	24
4921517D22Rik	0.912328920347639	20	19	24
4921524J17Rik	4.67594205552862e-09	20	13	24
4921524L21Rik	0.013896574458409	17	18	24
4921530L21Rik	0.479154766619468	15	10	24
4921536K21Rik	0.0537007581689689	23	11	24
4922502D21Rik	0.952279040787516	13	21	24
4930415O20Rik	0.934411831541407	24	3	24
4930429B21Rik	0.36259967098962	24	10	24
4930430A15Rik	0.653177172134492	22	3	24
4930430F08Rik	7.081725755754e-08	20	21	24
4930432K21Rik	0.91403483887267	22	14	24
4930433N12Rik	0.139587094946448	22	11	24
4930447C04Rik	0.0892655759001189	3	4	24
4930451I11Rik	0.640432910948794	24	9	24
4930452B06Rik	0.559783478950217	5	4	24
4930465K10Rik	0.84068491962844	24	18	24
4930470P17Rik	0.424655320290306	24	10	24
4930471G03Rik	0.589850154729261	21	13	24
4930474N05Rik	0.15838993299123	24	10	24
4930483J18Rik	0.23027130489529	5	4	24
4930486L24Rik	0.272268009516627	20	5	24
4930503B20Rik	0.000693926025940585	21	17	24
4930503L19Rik	0.0690260913537367	19	22	24
4930505A04Rik	0.693513478001861	16	14	24
4930515G01Rik	0.0038727239831229	22	11	24
4930519G04Rik	0.00591917048939232	20	20	24
4930522H14Rik	0.0223653993304959	20	17	24
4930524B15Rik	0.906065135581249	13	17	24
4930539E08Rik	0.938581637457472	23	10	24
4930544G11Rik	0.146530207024211	23	6	24
4930544M13Rik	0.887356645066627	22	11	24
4930548H24Rik	0.815697843019181	19	15	24
4930550C14Rik	0.784467168398233	24	9	24
4930556L07Rik	0.00190133139682347	24	10	24
4930578I06Rik	0.944842075521948	16	2	24
4930579K19Rik	0.369793984711043	23	16	24
4930591A17Rik	0.0203570200427299	24	9	24
4931406B18Rik	0.813323738469107	15	13	24
4931406C07Rik	3.2042990870964e-07	4	8	24
4931406H21Rik	0.393760394319935	4	14	24
4931414P19Rik	7.02899110700889e-07	3	9	24
4931417E11Rik	0.0994949068458276	24	9	24
4931428F04Rik	0.146464541360611	24	14	24
4931428L18Rik	0.0149743260262023	24	10	24
4931429L15Rik	0.404870359729764	24	10	24
4931431C16Rik	0.139633704092838	24	11	24
4932414N04Rik	0.248513188047622	24	8	24
4932435O22Rik	0.612120939056345	24	12	24
4932438A13Rik	4.98245929144407e-07	4	15	24
4932438H23Rik	0.109555235699187	24	2	24
4933400A11Rik	0.360818993495088	3	11	24
4933402J07Rik	0.899430867816079	24	11	24
4933404G15Rik	0.13094640181459	22	17	24
4933411K16Rik	0.909244177253772	13	17	24
4933414I15Rik	0.0283478517720752	21	13	24
4933415F23Rik	0.404705474228719	18	10	24
4933425L06Rik	0.895779514081799	5	20	24
4933427D06Rik	0.861664702981755	8	4	24
4933427D14Rik	0.00561897617339358	15	8	24
4933427E11Rik	0.585134703754005	8	10	24
4933430I17Rik	0.0109646336582725	23	20	24
4933431E20Rik	0.0432622201295785	22	15	24
4933434E20Rik	0.00345105987899778	22	2	24
4933436I01Rik	0.0173557328843432	21	12	24
4933440M02Rik	0.0547423395298796	3	7	24
5330439B14Rik	0.213972045601985	18	18	24
5430419D17Rik	0.0515560179170729	19	15	24
5730455P16Rik	0.163219572615664	3	13	24
6030458C11Rik	0.101915829731616	9	19	24
6030498E09Rik	0.0113835580445086	22	11	24
6330403K07Rik	0.391021305187842	24	14	24
6330549D23Rik	0.85302665498711	22	9	24
6430548M08Rik	0.0421196762478881	24	11	24
6820408C15Rik	0.0224873438623812	22	15	24
8030451A03Rik	0.964545790972949	21	12	24
8030462N17Rik	2.895337083642e-07	20	3	24
9030612E09Rik	0.113511186326168	23	14	24
9130008F23Rik	0.637362513098442	24	2	24
9130401M01Rik	0.000104558044503322	22	7	24
9330133O14Rik	0.00768461117923828	22	19	24
9330175E14Rik	0.0171996434374475	20	16	24
9330182L06Rik	0.86966149087993	11	14	24
9530002B09Rik	0.17254740462206	22	21	24
9530003J23Rik	0.521273634086378	23	13	24
9530068E07Rik	4.34769520639165e-05	16	4	24
9530077C05Rik	0.947096906722923	20	18	24
9630013D21Rik	0.00628159260167191	22	3	24
9930012K11Rik	0.0293888145340967	1	11	24
9930021J03Rik	0.107766321014775	24	9	24
9930104L06Rik	0.818388931326919	2	7	24
a	0.861648716354401	24	3	24
A130010J15Rik	0.0512870611235918	20	6	24
A1cf	1.91438172700164e-06	2	17	24
A230050P20Rik	1.66959832393034e-09	10	9	24
A2m	0.784474828181162	24	12	24
A2ml1	0.000954068076843394	14	13	24
A330008L17Rik	0.787540663188238	24	2	24
A430005L14Rik	0.00013699592015038	20	18	24
A430033K04Rik	0.813215579164164	14	11	24
A430093F15Rik	0.896274940582197	1	2	24
A4galt	0.8641773302157	23	11	24
A530016L24Rik	0.563786992417761	24	9	24
A530021J07Rik	0.808272333915801	2	22	24
A530053G22Rik	0.0188422373875244	17	10	24
A630001G21Rik	0.879664970019093	16	19	24
A630023P12Rik	0.972691277447279	21	20	24
A630038E17Rik	0.957099133951339	22	19	24
A630052C17Rik	0.93538908194097	20	15	24
A730020M07Rik	0.0148042128396553	24	14	24
A730089K16Rik	0.872587459866606	3	3	24
A830005F24Rik	0.845647108461187	23	10	24
A930012O16Rik	0.961783165688055	20	22	24
A930018P22Rik	0.583925759192058	22	8	24
A930024E05Rik	0.0471887000858704	20	22	24
AA986860	0.0014138721707912	18	18	24
Aaas	2.26384110943379e-05	13	9	24
Aacs	2.09012090213456e-06	1	7	24
Aadac	0.00725539820871324	21	21	24
Aadat	0.914494392131648	19	13	24
Aagab	5.06978303180114e-06	14	5	24
Aamdc	1.60623309086173e-05	21	11	24
Aamp	9.64923193190822e-06	18	13	24
Aanat	0.0424478927446682	24	12	24
Aar2	0.196778515463765	19	6	24
Aard	0.227216831196032	20	14	24
Aars2	0.0355675293839547	24	11	24
Aarsd1	0.110938821681761	2	20	24
Aasdh	2.12904384121586e-08	9	12	24
Aasdhppt	0.00098388728226231	8	7	24
Aass	0.0230812244953871	16	6	24
Aatf	0.0011822869762383	15	12	24
AB124611	0.828726469718303	13	19	24
Abat	7.62865462464076e-09	13	8	24
Abca1	0.105134147391535	4	12	24
Abca12	0.0336626235962203	24	10	24
Abca13	0.903994043412884	24	10	24
Abca14	0.935337340593607	6	11	24
Abca2	0.275504288142437	10	10	24
Abca3	0.0175206516448731	12	8	24
Abca4	0.516971341305257	4	15	24
Abca5	0.642243543212584	8	6	24
Abca6	0.00185334155036418	20	14	24
Abca7	0.942797635752015	22	15	24
Abca9	0.00134054197385331	24	10	24
Abcb10	0.0273354225516683	2	22	24
Abcb11	1.30917104505337e-17	11	9	24
Abcb6	0.0116225470426497	16	12	24
Abcb9	0.0389436422883142	23	14	24
Abcc1	0.84002417057112	6	22	24
Abcc10	0.442251633779164	16	9	24
Abcc12	0.103989919852521	24	4	24
Abcc2	5.20006187446507e-08	16	7	24
Abcc3	0.166636844112065	18	2	24
Abcc5	0.220437498553795	24	10	24
Abcc6	0.00095949473698392	18	3	24
Abcc9	0.47687660682288	4	20	24
Abcd1	0.242618631326043	16	11	24
Abcd2	6.26350484181812e-12	17	12	24
Abcd3	0.0624805109552672	16	4	24
Abcd4	0.692064904148738	6	5	24
Abce1	0.00301143483836075	20	19	24
Abcf1	0.0585248201762336	19	11	24
Abcf2	0.000412914283090093	21	11	24
Abcf3	0.637839238315524	7	22	24
Abcg1	0.119781591017604	14	22	24
Abcg2	1.39059867347388e-05	21	21	24
Abcg3	0.0147348398054974	22	11	24
Abcg4	0.222286429464036	23	10	24
Abcg5	2.30885938957456e-15	19	10	24
Abcg8	1.47106525652822e-16	15	7	24
Abhd1	0.911956207767055	3	18	24
Abhd10	0.000389127507667425	13	13	24
Abhd11	0.195686644704772	10	14	24
Abhd12	0.785114751245544	13	9	24
Abhd13	8.48813538442042e-07	17	17	24
Abhd14a	1.43390898765811e-07	3	18	24
Abhd15	0.000266926148144007	19	4	24
Abhd16a	1.92044141946931e-05	18	9	24
Abhd16b	0.00757298953157576	20	2	24
Abhd17a	8.8963883701066e-07	21	10	24
Abhd17b	1.37805908544611e-05	16	16	24
Abhd17c	2.5322908670461e-09	12	8	24
Abhd2	0.560151175796291	21	14	24
Abhd3	0.807818206149429	22	21	24
Abhd4	4.72244681053190e-12	14	7	24
Abhd5	0.000155698872601942	24	15	24
Abhd6	7.03466400797407e-16	19	17	24
Abhd8	0.00286274480797708	22	20	24
Abi2	0.090086098550272	14	14	24
Abi3	0.066912789319241	23	14	24
Abi3bp	0.34475676645948	14	9	24
Abl1	0.199130388412746	16	11	24
Ablim1	1.8956188033618e-06	3	18	24
Ablim2	0.41548853796404	24	10	24
Ablim3	0.00156487736020152	6	9	24
Abo	0.548380794080088	22	11	24
Abr	0.915794227275778	21	13	24
Abra	0.953186065448888	22	17	24
Abraxas1	0.0265372800152734	14	12	24
Abraxas2	0.240871041843755	10	10	24
Abtb1	7.4797835955535e-10	14	9	24
Acaa2	4.25755193840754e-06	4	5	24
Acaca	0.404915502843633	1	12	24
Acacb	3.73992719857055e-08	1	20	24
Acad11	1.33207276626395e-08	19	13	24
Acad8	1.16666320661822e-05	13	9	24
Acad9	0.0108181121967661	10	14	24
Acadl	0.00721531694448695	18	13	24
Acadm	4.65320596457772e-05	15	15	24
Acads	0.434061524025535	19	2	24
