"CycID" "filter_type" "ar_method" "period_number" "period" "amplitude" "phase" "mean" "R_square" "R2_adjust" "coef_var" "pvalue" "fdr_BH"
"2" "sin_1" "0" "default" "1" "24" "10.9678787349829" "21.7658489176152" "0.706178584471431" "0.905969152111757" "0.90043792576539" "11.6901526104658" "0" "0"
"3" "sin_2" "0" "default" "1" "24" "14.5490415061501" "20.3455193333963" "1.44296907394405" "0.871416189757204" "0.86385243621351" "7.70025529914603" "6.66133814775094e-16" "2.68012873537894e-15"
"4" "sin_3" "0" "default" "1" "24" "159.826995952322" "21.1016852656266" "4.88168621651789" "0.905881522162291" "0.900345141113014" "25.1713745348173" "0" "0"
"5" "sin_4" "0" "default" "1" "24" "19.7590487620429" "7.81122048551946" "0.487977641087693" "0.907595929083495" "0.902160395500171" "30.9419794283497" "0" "0"
"6" "sin_5" "0" "default" "1" "24" "21.6974002645689" "5.75746812085563" "0.332417967770794" "0.872748330415013" "0.865262938086484" "49.5421119252332" "6.66133814775094e-16" "2.68012873537894e-15"
"7" "sin_6" "0" "default" "1" "24" "221.850831072687" "18.0563967269462" "2.95650183847043" "0.875751779854359" "0.868443061022263" "58.2104517697794" "4.44089209850063e-16" "1.82547881477978e-15"
"8" "sin_7" "0" "default" "1" "24" "34.978835678228" "0.953034250700103" "0.962547979258514" "0.936108605632042" "0.932350288316279" "26.9776454871873" "0" "0"
"9" "sin_8" "0" "default" "1" "24" "5.66965446471832" "12.074496560224" "-0.473411212160688" "0.932646843314865" "0.928684892921622" "-8.88516098765039" "0" "0"
"10" "sin_9" "0" "default" "1" "24" "9.91561217441444" "7.36158338560245" "-0.484286981460129" "0.891155512808055" "0.884752895914412" "-15.6440466225703" "0" "0"
"11" "sin_10" "0" "default" "1" "24" "13.0052100493588" "4.00260357476933" "0.103974200034896" "0.900254243819736" "0.894386846397368" "93.3126562512041" "0" "0"
"12" "sin_11" "0" "default" "1" "24" "98.5335381033047" "15.7703524079524" "0.422802196905179" "0.899071324230018" "0.893134343302372" "174.201058493172" "0" "0"
"13" "sin_12" "0" "default" "1" "24" "32.0726937381568" "8.16640452806358" "-0.875835319521734" "0.905630219367302" "0.900079055800672" "-27.7269163351725" "0" "0"
"14" "sin_13" "0" "default" "1" "24" "30.9005013956122" "16.0325559154328" "0.125336306271751" "0.896496910069474" "0.890408493014737" "184.163449875602" "0" "0"
"15" "sin_14" "0" "default" "1" "24" "19.4353409306472" "16.8256670307571" "-0.596883071992256" "0.8748797643836" "0.867519750523812" "-25.0970155468393" "4.44089209850063e-16" "1.82547881477978e-15"
"16" "sin_15" "0" "default" "1" "24" "10.0376350445939" "5.59004176178372" "0.322611550866122" "0.852479691288988" "0.843802026070693" "24.3750983560064" "7.43849426498855e-15" "2.6041832245345e-14"
"17" "sin_16" "0" "default" "1" "24" "277.181935821296" "1.13399651485335" "-3.38302789026301" "0.932690391728805" "0.92873100300697" "-60.7156314601747" "0" "0"
"18" "sin_17" "0" "default" "1" "24" "31.0127577237947" "7.14443777386543" "-0.268666262719993" "0.896094367612437" "0.889982271589639" "-87.1233842403344" "0" "0"
"19" "sin_18" "0" "default" "1" "24" "3.65313881366135" "5.89375665133688" "0.0506634874756629" "0.884909988530775" "0.878139987856115" "55.0977695923073" "1.11022302462516e-16" "5.12482302596589e-16"
"20" "sin_19" "0" "default" "1" "24" "45.8805020290768" "14.0804568704766" "1.31522935927219" "0.922954790177502" "0.918422719011473" "25.9956743809984" "0" "0"
"21" "sin_20" "0" "default" "1" "24" "11.340208313135" "7.07732664795922" "-0.212982412664776" "0.886258966561997" "0.879568317536232" "-40.7788697813184" "1.11022302462516e-16" "5.12482302596589e-16"
"22" "sin_21" "0" "default" "1" "24" "6.71799582224786" "5.86910308560155" "0.188444274211529" "0.884590041767699" "0.87780122069521" "26.685662748914" "1.11022302462516e-16" "5.12482302596589e-16"
"23" "sin_22" "0" "default" "1" "24" "15.1519002692705" "0.691205217949718" "0.0952074297403356" "0.91105005574436" "0.905817706082264" "119.314517896127" "0" "0"
"24" "sin_23" "0" "default" "1" "24" "6.51721136882782" "6.11558335304784" "-0.281150358804078" "0.858423886218438" "0.850095879525405" "-17.7819787538615" "3.66373598126302e-15" "1.33359019834193e-14"
"25" "sin_24" "0" "default" "1" "24" "9.13198242586378" "0.976646504759547" "1.09644982448729" "0.922312150646802" "0.917742277155437" "6.20907206063308" "0" "0"
"26" "sin_25" "0" "default" "1" "24" "10.0824493436996" "16.7846091209288" "0.0585637899765376" "0.869633350224949" "0.861964723767593" "133.967849629032" "8.88178419700125e-16" "3.49426416906344e-15"
"27" "sin_26" "0" "default" "1" "24" "4.25194754952766" "7.07677328033738" "-0.226405528440832" "0.879009135777322" "0.871892026117164" "-14.5818002450032" "2.22044604925031e-16" "9.52238071803253e-16"
"28" "sin_27" "0" "default" "1" "24" "55.5136966925356" "23.9411035778968" "-0.617190758657253" "0.932088812141907" "0.928094036385548" "-66.73244911318" "0" "0"
"29" "sin_28" "0" "default" "1" "24" "22.0233277649339" "13.9951258685549" "-1.25096459552669" "0.931648624867589" "0.927627955742153" "-13.0946424050945" "0" "0"
"30" "sin_29" "0" "default" "1" "24" "6.94309652477265" "22.261706788762" "-0.277018838453941" "0.922019447544586" "0.917432356223679" "-18.8183890910275" "0" "0"
"31" "sin_30" "0" "default" "1" "24" "97.2036654058119" "4.95467380986682" "1.52621982294819" "0.851755417422247" "0.84303514785885" "49.5524008348538" "7.99360577730113e-15" "2.79230433630716e-14"
"32" "sin_31" "0" "default" "1" "24" "29.8292391711215" "13.5991650300585" "-1.33851391391424" "0.923366671671802" "0.918858828828967" "-16.681403111784" "0" "0"
"33" "sin_32" "0" "default" "1" "24" "14.1645698333747" "13.9828123137891" "-1.14947423903454" "0.923302895808894" "0.918791301444712" "-9.19914238887742" "0" "0"
"34" "sin_33" "0" "default" "1" "24" "61.2294752576604" "15.1922265783974" "-3.39093914893265" "0.904084649812987" "0.898442570390222" "-13.5939084794366" "0" "0"
"35" "sin_34" "0" "default" "1" "24" "55.379361660715" "3.64544654255414" "5.49383584389339" "0.839724799857676" "0.830296846908127" "7.87586443021501" "3.04201108747293e-14" "1.00306120989815e-13"
"36" "sin_35" "0" "default" "1" "24" "47.0951933641032" "15.9746230409038" "0.243192912325494" "0.870188961812211" "0.8625530183894" "146.721092708948" "8.88178419700125e-16" "3.49426416906344e-15"
"37" "sin_36" "0" "default" "1" "24" "46.4040801137126" "5.08529460726272" "0.387615152993004" "0.871029584442581" "0.863443089409791" "93.4914822914263" "7.7715611723761e-16" "3.11201939920412e-15"
"38" "sin_37" "0" "default" "1" "24" "34.8883746796202" "17.1098012807379" "-1.35915079915277" "0.870864179839785" "0.863267955124478" "-19.6668321413447" "7.7715611723761e-16" "3.11201939920412e-15"
"39" "sin_38" "0" "default" "1" "24" "18.2238739384056" "1.96696863316513" "0.633661769990698" "0.931808005890987" "0.927796712119869" "21.3142854517731" "0" "0"
"40" "sin_39" "0" "default" "1" "24" "13.2671249119303" "2.77758316503616" "-0.00577524160001897" "0.921166379477422" "0.916529107681976" "-1724.94229975956" "0" "0"
"41" "sin_40" "0" "default" "1" "24" "12.6559516336102" "6.43835159899967" "0.521138475059358" "0.868972694743583" "0.861265206199088" "18.643303735325" "9.99200722162641e-16" "3.91703775616146e-15"
"42" "sin_41" "0" "default" "1" "24" "9.47500400028417" "23.8960269103227" "0.500091630022789" "0.93845540738106" "0.934835137227005" "14.0056592556464" "0" "0"
"43" "sin_42" "0" "default" "1" "24" "13.7390337697622" "23.1707791591049" "0.253973584462429" "0.895395692926535" "0.889242498392802" "41.0124964451887" "0" "0"
"44" "sin_43" "0" "default" "1" "24" "6.44625150024167" "23.8055384144021" "0.318621977732008" "0.950341745668723" "0.94742067188453" "14.8638731186276" "0" "0"
"45" "sin_44" "0" "default" "1" "24" "601.99660504144" "8.07811614508267" "14.9884135407726" "0.898274446371235" "0.892290590275426" "30.163113793293" "0" "0"
"46" "sin_45" "0" "default" "1" "24" "94.6435854936347" "23.0912719792857" "2.32762870954662" "0.91680401691992" "0.911910135562268" "30.3695231027222" "0" "0"
"47" "sin_46" "0" "default" "1" "24" "7.49494700263592" "22.0129350340708" "0.237360314728792" "0.928509785920607" "0.924304479210055" "23.3698931529956" "0" "0"
"48" "sin_47" "0" "default" "1" "24" "14.1551489931195" "12.88024955068" "-0.37748073447524" "0.952129339900465" "0.949313418718139" "-27.5648734161497" "0" "0"
"49" "sin_48" "0" "default" "1" "24" "12.5744788016671" "1.77965218097253" "0.0704629023239041" "0.931143838250511" "0.927093475794658" "133.003262055988" "0" "0"
"50" "sin_49" "0" "default" "1" "24" "53.335757617736" "11.255896939489" "-1.09501051901709" "0.946609666628078" "0.943469058782671" "-35.8677602336699" "0" "0"
"51" "sin_50" "0" "default" "1" "24" "16.6903062493646" "3.81648202128761" "1.20914529905956" "0.882051990607105" "0.875113872407523" "10.5265490349637" "2.22044604925031e-16" "9.52238071803253e-16"
"52" "sin_51" "0" "default" "1" "24" "26.5915457797209" "14.8001338482203" "0.0184462543303074" "0.906708335345875" "0.901220590366221" "1085.64698487658" "0" "0"
"53" "sin_52" "0" "default" "1" "24" "18.2012006664212" "15.7409594800936" "-0.0857658730717011" "0.891475425312881" "0.885091626801874" "-160.69015178042" "0" "0"
"54" "sin_53" "0" "default" "1" "24" "20.5109080773455" "1.87397431704855" "1.40865866858001" "0.944160258963367" "0.940875568314154" "10.6911795914229" "0" "0"
"55" "sin_54" "0" "default" "1" "24" "127.58819297931" "21.9667116892157" "3.51494320401456" "0.904502481420324" "0.898884980327402" "27.3414541305151" "0" "0"
"56" "sin_55" "0" "default" "1" "24" "16.0705622089797" "23.2547100659034" "0.110727244335204" "0.949403973845874" "0.946427737013279" "106.836937453588" "0" "0"
"57" "sin_56" "0" "default" "1" "24" "161.644850317897" "18.9969313311816" "-4.49320721049106" "0.889188571803761" "0.8826702524981" "-27.4352264446212" "0" "0"
"58" "sin_57" "0" "default" "1" "24" "5.23691917952565" "21.8177184808498" "0.177598969994855" "0.934583179796032" "0.93073513154874" "21.8621262674257" "0" "0"
"59" "sin_58" "0" "default" "1" "24" "37.3048420860737" "10.1400371803843" "-1.11069570160964" "0.922105799051754" "0.917523787231268" "-25.1078823570913" "0" "0"
"60" "sin_59" "0" "default" "1" "24" "22.9428168018895" "7.80258491284487" "-0.0789411205425765" "0.893288026969256" "0.887010852085094" "-219.045091725092" "0" "0"
"61" "sin_60" "0" "default" "1" "24" "26.2555859591619" "23.1102179119733" "-0.0853687759102297" "0.911044418014213" "0.905811736720932" "-230.599939430752" "0" "0"
"62" "sin_61" "0" "default" "1" "24" "30.4263064331303" "17.9921159691056" "0.00130250433663967" "0.888784105822704" "0.88224199440051" "17695.3349534" "0" "0"
"63" "sin_62" "0" "default" "1" "24" "11.6383136297502" "16.0867025056038" "-0.34068145272709" "0.900627773952173" "0.894782348890536" "-25.4640254493742" "0" "0"
"64" "sin_63" "0" "default" "1" "24" "12.4053865126356" "18.2168002921872" "-0.351715928917117" "0.883385867974269" "0.876526213149226" "-27.7151410320585" "1.11022302462516e-16" "5.12482302596589e-16"
"65" "sin_64" "0" "default" "1" "24" "7.1775351326075" "14.9509260063083" "0.0328897941794168" "0.926977552856096" "0.922682114788807" "160.769748094511" "0" "0"
"66" "sin_65" "0" "default" "1" "24" "7.08450409527292" "22.9587401704685" "0.122842871912228" "0.92090038103522" "0.916247462272585" "43.1209460929041" "0" "0"
"67" "sin_66" "0" "default" "1" "24" "22.30512790317" "7.076285229039" "-0.224981972221161" "0.837479213045759" "0.827919166754333" "-79.0015522407768" "3.85247389544929e-14" "1.26047628940935e-13"
"68" "sin_67" "0" "default" "1" "24" "36.2398332646095" "14.2049683086444" "-2.1018242644581" "0.924804723488508" "0.920381471929008" "-12.9009422983842" "0" "0"
"69" "sin_68" "0" "default" "1" "24" "22.1253346104234" "8.37394752624922" "-0.270996009289262" "0.877187013141918" "0.869962719797325" "-62.84326823292" "3.33066907387547e-16" "1.4091292235627e-15"
"70" "sin_69" "0" "default" "1" "24" "64.9172735997839" "13.8872579110582" "-1.3019818327903" "0.919168775533317" "0.914413997623512" "-37.5051821114793" "0" "0"
"71" "sin_70" "0" "default" "1" "24" "491.196956644471" "0.109392922339443" "10.8892181225338" "0.947665279587538" "0.944586766622099" "33.1812064119123" "0" "0"
"72" "sin_71" "0" "default" "1" "24" "11.8926857909342" "19.0079851203031" "0.509121077419057" "0.895370943881349" "0.889216293521429" "17.6307884595976" "0" "0"
"73" "sin_72" "0" "default" "1" "24" "2.77121890159488" "21.9139039710338" "-0.00538787159952298" "0.888183138954999" "0.881605676540587" "-392.335373821293" "0" "0"
"74" "sin_73" "0" "default" "1" "24" "68.9555801761242" "16.900362954732" "-2.47108762475165" "0.887013041750524" "0.88036675008879" "-21.3722416828524" "0" "0"
"75" "sin_74" "0" "default" "1" "24" "9.87201145778868" "21.0928772160415" "0.321203251428014" "0.914554322470235" "0.909528106144955" "23.1705276461632" "0" "0"
"76" "sin_75" "0" "default" "1" "24" "9.07460267096635" "22.1512942985134" "-0.142052323784583" "0.915916029044266" "0.910969913105693" "-47.9603662223574" "0" "0"
"77" "sin_76" "0" "default" "1" "24" "76.6924339793139" "7.89826517937679" "-1.09324473182215" "0.91361262825275" "0.908531018149971" "-52.3645576367135" "0" "0"
"78" "sin_77" "0" "default" "1" "24" "15.1366297431339" "9.1054098470578" "0.185359072230128" "0.914896854235381" "0.909890786837462" "60.7752354115602" "0" "0"
"79" "sin_78" "0" "default" "1" "24" "5.93916782399532" "19.7583802517894" "0.208994194973544" "0.880117559875374" "0.873065651632749" "21.4824956961756" "2.22044604925031e-16" "9.52238071803253e-16"
"80" "sin_79" "0" "default" "1" "24" "21.4698026642022" "2.85310096798173" "0.226340205397918" "0.900480552980011" "0.894626467861188" "71.9797889524659" "0" "0"
"81" "sin_80" "0" "default" "1" "24" "17.4854563991102" "11.2309951255883" "-0.70192605710359" "0.936694807987797" "0.93297097316355" "-18.4643030711903" "0" "0"
"82" "sin_81" "0" "default" "1" "24" "20.9963041391384" "21.1493117631033" "0.515892512931845" "0.898507996615598" "0.892537878769456" "30.9853856664748" "0" "0"
"83" "sin_82" "0" "default" "1" "24" "29.9447436763755" "0.770382195247631" "-0.241292599942684" "0.92025697637982" "0.915566210284515" "-93.0297235543948" "0" "0"
"84" "sin_83" "0" "default" "1" "24" "13.5524835018927" "3.87488723057019" "0.599684691561604" "0.899569680415508" "0.893662014557596" "17.0109202612715" "0" "0"
"85" "sin_84" "0" "default" "1" "24" "43.1423852912081" "16.8049405398479" "-2.64516622057077" "0.895334948874425" "0.889178181161156" "-12.3802542480369" "0" "0"
"86" "sin_85" "0" "default" "1" "24" "16.4902268692194" "2.62541718985965" "0.271119255851057" "0.929965601571176" "0.925845931075363" "45.2941903116807" "0" "0"
"87" "sin_86" "0" "default" "1" "24" "27.7566642547561" "19.6987097324049" "-1.40358853637493" "0.858605139242901" "0.850287794492483" "-15.3750612019966" "3.5527136788005e-15" "1.29489232825731e-14"
"88" "sin_87" "0" "default" "1" "24" "81.9393391591344" "21.0962299781504" "-0.0595323897724035" "0.90136359120202" "0.895561449508021" "-1048.9700078972" "0" "0"
"89" "sin_88" "0" "default" "1" "24" "31.1607278488037" "6.0355703853031" "-0.800084285404122" "0.884860711229357" "0.878087811889908" "-29.6057404854664" "1.11022302462516e-16" "5.12482302596589e-16"
"90" "sin_89" "0" "default" "1" "24" "13.661836862309" "23.728430892723" "-0.466060968588801" "0.942286545035814" "0.938891635920274" "-21.621831914582" "0" "0"
"91" "sin_90" "0" "default" "1" "24" "92.2840765726832" "13.1122176538618" "-0.0936387004592564" "0.91189596320519" "0.906713372805495" "-737.923756048761" "0" "0"
"92" "sin_91" "0" "default" "1" "24" "70.6260122115787" "21.2755636270292" "-1.36402134265734" "0.921708387512301" "0.917102998542437" "-38.7876975817359" "0" "0"
"93" "sin_92" "0" "default" "1" "24" "40.0405292631441" "11.0184826592993" "-1.95744890769436" "0.921614562794257" "0.917003654723331" "-15.2772570177032" "0" "0"
"94" "sin_93" "0" "default" "1" "24" "25.8023115405916" "15.8693140803245" "-1.97853357953356" "0.907528002434623" "0.902088473166072" "-9.85925627751264" "0" "0"
"95" "sin_94" "0" "default" "1" "24" "10.0483963058983" "8.86982706938745" "-0.197293877046143" "0.920623552298908" "0.915954349492961" "-37.956292656164" "0" "0"
"96" "sin_95" "0" "default" "1" "24" "125.640467777074" "11.9129704303915" "4.55189158577218" "0.914414300092153" "0.909379847156397" "20.6716016420477" "0" "0"
"97" "sin_96" "0" "default" "1" "24" "9.94456255042573" "5.93439343938616" "0.206520738876473" "0.851946685765449" "0.843237667281064" "38.1532434124091" "7.88258347483861e-15" "2.75614806812539e-14"
"98" "sin_97" "0" "default" "1" "24" "672.50689043294" "3.01531089321057" "-34.528118384908" "0.915597804056746" "0.910632969001261" "-14.4797543884104" "0" "0"
"99" "sin_98" "0" "default" "1" "24" "181.581090657152" "21.968210574351" "-1.15406882590941" "0.932910527688517" "0.928964088140783" "-116.184626465242" "0" "0"
"100" "sin_99" "0" "default" "1" "24" "15.7788948862714" "8.81369230912637" "-0.429337011493249" "0.923415056605207" "0.918910059934925" "-27.1242080427451" "0" "0"
"101" "sin_100" "0" "default" "1" "24" "7.75977366526057" "12.9986816482916" "-0.395648002943272" "0.913679246469075" "0.908601555084903" "-14.6785313350284" "0" "0"
"102" "sin_101" "0" "default" "1" "24" "9.19658789396389" "19.0186958784366" "-0.0908229833621613" "0.896059569171726" "0.889945426181828" "-76.7538531463691" "0" "0"
"103" "sin_102" "0" "default" "1" "24" "25.4510310269914" "15.6298136906384" "0.307040826413403" "0.891471970355748" "0.885087968611969" "62.2385552019938" "0" "0"
"104" "sin_103" "0" "default" "1" "24" "15.9361520017049" "23.2686860843748" "-0.38164028612561" "0.941967428605565" "0.938553747935304" "-30.7805657840455" "0" "0"
"105" "sin_104" "0" "default" "1" "24" "14.0146127435732" "2.84858926381795" "0.0408770389344049" "0.896143532033419" "0.890034328035385" "259.114996740398" "0" "0"
"106" "sin_105" "0" "default" "1" "24" "7.24744161604506" "0.253832942677094" "0.328995646153223" "0.923319042660228" "0.91880839811083" "16.4238288007074" "0" "0"
"107" "sin_106" "0" "default" "1" "24" "16.9138001264038" "2.81726648995933" "-0.439644081398278" "0.897437309669694" "0.8914042102385" "-28.8522686740622" "0" "0"
"108" "sin_107" "0" "default" "1" "24" "8.76918705133131" "22.960489319807" "0.144286364828462" "0.937168026661111" "0.933472028229412" "44.8731752837729" "0" "0"
"109" "sin_108" "0" "default" "1" "24" "4.34022126030292" "1.97699309919458" "0.00972717818765525" "0.922127785173297" "0.917547066654079" "332.480508907555" "0" "0"
"110" "sin_109" "0" "default" "1" "24" "12.4721730806092" "19.0961413819431" "0.921421986623013" "0.867035141764831" "0.859213679515703" "10.3286640662449" "1.33226762955019e-15" "5.10981308404884e-15"
"111" "sin_110" "0" "default" "1" "24" "62.9354680600823" "14.9664553367869" "-0.558405791408865" "0.893872958308357" "0.887630191150025" "-85.4024450202503" "0" "0"
"112" "sin_111" "0" "default" "1" "24" "10.3692838348261" "3.95915213478433" "0.195180862347237" "0.903656257892792" "0.897988978945309" "39.8081177517849" "0" "0"
